2014-12-05 12:00:07:0407, list_pattern_mouseentered, id=1, type=0
2014-12-05 12:00:07:0407, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0438, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0469, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0469, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0500, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0516, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0531, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0547, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0563, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:07:0578, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:07:0594, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:07:0625, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:07:0641, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:07:0641, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:07:0672, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:07:0703, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:07:0719, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:07:0750, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:07:0765, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:07:0781, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:07:0797, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:07:0812, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:07:0843, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0859, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0875, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0890, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0906, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0921, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0937, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0953, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0984, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:07:0999, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:08:0015, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:08:0015, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:08:0046, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:08:0187, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:08:0202, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:08:0218, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:08:0233, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:08:0249, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:08:0265, list_pattern_mousemoved, id=1, type=0
2014-12-05 12:00:08:0296, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:08:0311, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:08:0327, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:08:0343, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:08:0358, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:08:0374, list_pattern_mousemoved, id=2, type=0
2014-12-05 12:00:08:0405, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0421, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0421, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0436, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0467, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0467, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0499, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0514, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0530, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0545, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0561, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0577, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0608, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0639, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0655, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0670, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0670, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0701, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0717, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0733, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0748, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0779, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0795, list_pattern_mousemoved, id=3, type=0
2014-12-05 12:00:08:0811, list_pattern_mousemoved, id=3, type=0
