2015-01-15 02:48:06:0300, list_mousemoved, id=15695, type=1
2015-01-15 02:48:06:0347, list_mouseexited
2015-01-15 02:48:06:0565, diag_itementered, id=31446, type=1
2015-01-15 02:48:06:0612, diag_itemexited, id=31446, type=1
2015-01-15 02:48:07:0127, diag_itementered, id=25552, type=1
2015-01-15 02:48:07:0454, diag_itemexited, id=25552, type=1
2015-01-15 02:48:07:0532, list_mouseentered, id=41894, type=1
2015-01-15 02:48:07:0548, list_mousemoved, id=41894, type=1
2015-01-15 02:48:07:0579, list_mousemoved, id=51574, type=1
2015-01-15 02:48:07:0595, list_mousemoved, id=51574, type=1
2015-01-15 02:48:07:0626, list_mousemoved, id=51574, type=1
2015-01-15 02:48:07:0641, list_mousemoved, id=51574, type=1
2015-01-15 02:48:07:0673, list_mousemoved, id=51574, type=1
2015-01-15 02:48:07:0688, list_mousemoved, id=51574, type=1
2015-01-15 02:48:07:0704, list_mousemoved, id=51574, type=1
2015-01-15 02:48:07:0719, list_mousemoved, id=51574, type=1
2015-01-15 02:48:07:0751, list_mousemoved, id=51574, type=1
2015-01-15 02:48:07:0751, list_mousemoved, id=51574, type=1
2015-01-15 02:48:07:0782, list_mousemoved, id=51574, type=1
2015-01-15 02:48:07:0829, list_mousemoved, id=51574, type=1
2015-01-15 02:48:07:0844, list_mousemoved, id=51574, type=1
2015-01-15 02:48:07:0860, list_mousemoved, id=41894, type=1
2015-01-15 02:48:07:0875, list_mousemoved, id=41894, type=1
2015-01-15 02:48:07:0907, list_mousemoved, id=41894, type=1
2015-01-15 02:48:07:0922, list_mousemoved, id=41894, type=1
2015-01-15 02:48:07:0953, list_mousemoved, id=41894, type=1
2015-01-15 02:48:07:0969, list_mousemoved, id=41894, type=1
2015-01-15 02:48:07:0985, list_mouseexited
2015-01-15 02:48:08:0437, diag_itementered, id=23402, type=1
2015-01-15 02:48:08:0484, diag_itemexited, id=23402, type=1
2015-01-15 02:48:08:0624, diag_itementered, id=23402, type=1
2015-01-15 02:48:08:0687, diag_itemexited, id=23402, type=1
2015-01-15 02:48:08:0811, diag_itementered, id=23402, type=1
2015-01-15 02:48:08:0858, diag_itemexited, id=23402, type=1
2015-01-15 02:48:10:0637, diag_itementered, id=23402, type=1
2015-01-15 02:48:10:0949, diag_itemexited, id=23402, type=1
2015-01-15 02:48:11:0854, diag_itementered, id=23402, type=1
2015-01-15 02:48:11:0885, diag_itemexited, id=23402, type=1
2015-01-15 02:48:12:0119, list_mouseentered, id=23402, type=1
2015-01-15 02:48:12:0119, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0150, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0150, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0181, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0197, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0228, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0228, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0259, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0290, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0306, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0306, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0337, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0368, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0368, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0384, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0400, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0431, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0446, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0462, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0478, list_mousemoved, id=23402, type=1
2015-01-15 02:48:12:0509, list_mousemoved, id=39399, type=1
2015-01-15 02:48:12:0524, list_mousemoved, id=39399, type=1
2015-01-15 02:48:12:0540, list_mousemoved, id=39399, type=1
2015-01-15 02:48:12:0571, list_mousemoved, id=39399, type=1
2015-01-15 02:48:12:0587, list_mousemoved, id=39399, type=1
2015-01-15 02:48:12:0618, list_mousemoved, id=39399, type=1
2015-01-15 02:48:12:0618, list_mousemoved, id=39399, type=1
2015-01-15 02:48:12:0649, list_mousemoved, id=39399, type=1
2015-01-15 02:48:12:0680, list_mousemoved, id=39399, type=1
2015-01-15 02:48:12:0696, list_mousemoved, id=39399, type=1
2015-01-15 02:48:12:0712, list_mousemoved, id=39399, type=1
2015-01-15 02:48:12:0712, list_mousemoved, id=39399, type=1
2015-01-15 02:48:12:0758, list_mousemoved, id=39399, type=1
2015-01-15 02:48:12:0758, list_mousemoved, id=39399, type=1
2015-01-15 02:48:12:0790, list_mousemoved, id=34571, type=1
2015-01-15 02:48:12:0821, list_mousemoved, id=34571, type=1
2015-01-15 02:48:12:0836, list_mousemoved, id=34571, type=1
2015-01-15 02:48:12:0852, list_mousemoved, id=34571, type=1
2015-01-15 02:48:13:0164, list_mousemoved, id=34571, type=1
2015-01-15 02:48:13:0195, list_mousemoved, id=34571, type=1
2015-01-15 02:48:13:0211, list_mousemoved, id=34571, type=1
2015-01-15 02:48:13:0211, list_mousemoved, id=34571, type=1
2015-01-15 02:48:13:0242, list_mousemoved, id=34571, type=1
2015-01-15 02:48:13:0273, list_mousemoved, id=34571, type=1
2015-01-15 02:48:13:0289, list_mousemoved, id=45546, type=1
2015-01-15 02:48:13:0289, list_mousemoved, id=45546, type=1
2015-01-15 02:48:13:0336, list_mousemoved, id=45546, type=1
2015-01-15 02:48:13:0351, list_mousemoved, id=45546, type=1
2015-01-15 02:48:13:0351, list_mousemoved, id=45546, type=1
2015-01-15 02:48:13:0398, list_mousemoved, id=45546, type=1
2015-01-15 02:48:13:0414, list_mousemoved, id=45546, type=1
2015-01-15 02:48:13:0429, list_mousemoved, id=33960, type=1
2015-01-15 02:48:13:0460, list_mousemoved, id=33960, type=1
2015-01-15 02:48:13:0476, list_mousemoved, id=33960, type=1
2015-01-15 02:48:13:0492, list_mousemoved, id=33960, type=1
2015-01-15 02:48:13:0523, list_mousemoved, id=33960, type=1
2015-01-15 02:48:13:0538, list_mousemoved, id=33960, type=1
2015-01-15 02:48:13:0554, list_mousemoved, id=33960, type=1
2015-01-15 02:48:13:0570, list_mousemoved, id=33960, type=1
2015-01-15 02:48:13:0601, list_mousemoved, id=33960, type=1
2015-01-15 02:48:13:0616, list_mousemoved, id=33960, type=1
2015-01-15 02:48:13:0632, list_mousemoved, id=33960, type=1
2015-01-15 02:48:13:0663, list_mousemoved, id=11930, type=1
2015-01-15 02:48:13:0694, list_mousemoved, id=11930, type=1
2015-01-15 02:48:13:0710, list_mousemoved, id=11930, type=1
2015-01-15 02:48:13:0741, list_mousemoved, id=11930, type=1
2015-01-15 02:48:13:0741, list_mousemoved, id=11930, type=1
2015-01-15 02:48:13:0772, list_mousemoved, id=11930, type=1
2015-01-15 02:48:13:0804, list_mousemoved, id=11930, type=1
2015-01-15 02:48:13:0819, list_mousemoved, id=11930, type=1
2015-01-15 02:48:13:0850, list_mousemoved, id=11930, type=1
2015-01-15 02:48:13:0882, list_mousemoved, id=11930, type=1
2015-01-15 02:48:14:0131, list_mousemoved, id=11930, type=1
2015-01-15 02:48:14:0147, list_mousemoved, id=11930, type=1
2015-01-15 02:48:14:0162, list_mousemoved, id=11930, type=1
2015-01-15 02:48:14:0162, list_mousemoved, id=11930, type=1
2015-01-15 02:48:14:0178, list_mousemoved, id=11930, type=1
2015-01-15 02:48:14:0209, list_mousemoved, id=11930, type=1
2015-01-15 02:48:14:0225, list_mousemoved, id=11930, type=1
2015-01-15 02:48:14:0240, list_mousemoved, id=11930, type=1
2015-01-15 02:48:14:0256, list_mousemoved, id=11930, type=1
2015-01-15 02:48:14:0287, list_mousemoved, id=11930, type=1
2015-01-15 02:48:14:0303, list_mousemoved, id=11930, type=1
2015-01-15 02:48:14:0318, list_mousemoved, id=33960, type=1
2015-01-15 02:48:14:0350, list_mousemoved, id=33960, type=1
2015-01-15 02:48:14:0365, list_mousemoved, id=33960, type=1
2015-01-15 02:48:14:0381, list_mousemoved, id=33960, type=1
2015-01-15 02:48:14:0412, list_mousemoved, id=33960, type=1
2015-01-15 02:48:14:0412, list_mousemoved, id=33960, type=1
2015-01-15 02:48:14:0459, list_mousemoved, id=33960, type=1
