2014-12-10 11:40:03:0626, setup_loaddata_begin
2014-12-10 11:40:05:0888, setup_loaddata_end
2014-12-10 11:40:05:0919, setup_createactions_begin
2014-12-10 11:40:06:0106, setup_createactions_end
2014-12-10 11:40:09:0913, list_mouseentered, id=24723, type=1
2014-12-10 11:40:09:0913, list_mousemoved, id=24723, type=1
2014-12-10 11:40:09:0960, list_mousemoved, id=41233, type=1
2014-12-10 11:40:10:0007, list_mousemoved, id=40663, type=1
2014-12-10 11:40:10:0287, list_mousemoved, id=40663, type=1
2014-12-10 11:40:10:0319, list_mousemoved, id=40663, type=1
2014-12-10 11:40:10:0334, list_mousemoved, id=40663, type=1
2014-12-10 11:40:10:0365, list_mousemoved, id=40663, type=1
2014-12-10 11:40:10:0397, list_mousemoved, id=41233, type=1
2014-12-10 11:40:10:0412, list_mousemoved, id=41233, type=1
2014-12-10 11:40:10:0428, list_mousemoved, id=41233, type=1
2014-12-10 11:40:10:0443, list_mousemoved, id=41233, type=1
2014-12-10 11:40:10:0490, list_mouseexited
2014-12-10 11:40:10:0631, diag_itementered, id=54909, type=1
2014-12-10 11:40:10:0677, diag_itemexited, id=54909, type=1
2014-12-10 11:40:10:0709, diag_itementered, id=41107, type=1
2014-12-10 11:40:10:0849, diag_itemexited, id=41107, type=1
2014-12-10 11:40:12:0284, diag_itemexited, id=1, type=4
2014-12-10 11:40:12:0331, diag_itementered, id=1, type=0
2014-12-10 11:40:12:0378, diag_itemexited, id=1, type=0
2014-12-10 11:40:12:0487, diag_itemexited, id=1, type=4
2014-12-10 11:40:12:0503, diag_itementered, id=1, type=0
2014-12-10 11:40:12:0627, diag_itemexited, id=1, type=0
2014-12-10 11:40:12:0705, diag_itemexited, id=1, type=4
2014-12-10 11:40:12:0705, diag_itementered, id=1, type=0
2014-12-10 11:40:12:0783, diag_itemexited, id=1, type=0
2014-12-10 11:40:14:0999, diag_itemexited, id=2, type=4
2014-12-10 11:40:14:0999, diag_itementered, id=23445, type=1
2014-12-10 11:40:15:0077, diag_itemexited, id=23445, type=1
2014-12-10 11:40:16:0137, diag_itemexited, id=2, type=4
2014-12-10 11:40:16:0153, diag_itementered, id=2, type=0
2014-12-10 11:40:16:0215, diag_itemexited, id=2, type=0
2014-12-10 11:40:16:0215, diag_itementered, id=65035, type=1
2014-12-10 11:40:16:0309, diag_itemexited, id=65035, type=1
2014-12-10 11:40:16:0434, diag_itemexited, id=2, type=4
2014-12-10 11:40:16:0512, diag_itemexited, id=2, type=4
2014-12-10 11:40:16:0527, diag_itementered, id=65035, type=1
2014-12-10 11:40:16:0605, diag_itemexited, id=65035, type=1
2014-12-10 11:40:17:0151, diag_itemexited, id=2, type=4
2014-12-10 11:40:17:0151, diag_itementered, id=2, type=0
2014-12-10 11:40:23:0875, diag_itemexited, id=2, type=0
2014-12-10 11:40:23:0875, diag_itementered, id=56843, type=1
2014-12-10 11:40:23:0953, diag_itemexited, id=56843, type=1
2014-12-10 11:40:23:0953, diag_itementered, id=4, type=0
2014-12-10 11:40:24:0015, diag_itemexited, id=4, type=0
2014-12-10 11:40:24:0203, diag_itementered, id=48442, type=1
2014-12-10 11:40:24:0281, diag_itemexited, id=48442, type=1
2014-12-10 11:40:24:0577, diag_itementered, id=21817, type=1
2014-12-10 11:40:24:0639, diag_itemexited, id=21817, type=1
2014-12-10 11:40:24:0639, list_mouseentered, id=33262, type=1
2014-12-10 11:40:24:0639, list_mousemoved, id=33262, type=1
2014-12-10 11:40:24:0702, list_mousemoved, id=33262, type=1
2014-12-10 11:40:24:0920, list_mousemoved, id=33262, type=1
2014-12-10 11:40:24:0936, list_mousemoved, id=33262, type=1
2014-12-10 11:40:24:0967, list_mouseexited
2014-12-10 11:40:25:0061, diag_itementered, id=49379, type=1
2014-12-10 11:40:25:0092, diag_itemexited, id=49379, type=1
2014-12-10 11:40:25:0201, diag_itemexited, id=2, type=4
2014-12-10 11:40:25:0201, diag_itementered, id=2, type=0
2014-12-10 11:40:25:0279, diag_itemexited, id=2, type=0
2014-12-10 11:40:25:0653, diag_itemexited, id=2, type=4
2014-12-10 11:40:25:0653, diag_itementered, id=2, type=0
2014-12-10 11:40:35:0092, diag_itemexited, id=2, type=0
2014-12-10 11:40:35:0170, diag_itemexited, id=2, type=4
2014-12-10 11:40:35:0294, diag_itemexited, id=2, type=4
2014-12-10 11:40:35:0310, diag_itementered, id=23445, type=1
2014-12-10 11:40:35:0372, diag_itemexited, id=23445, type=1
2014-12-10 11:40:35:0372, diag_itementered, id=2, type=0
2014-12-10 11:40:35:0435, diag_itemexited, id=2, type=0
2014-12-10 11:40:35:0544, diag_itemexited, id=2, type=4
2014-12-10 11:40:35:0560, diag_itementered, id=65035, type=1
2014-12-10 11:40:37:0182, edge_create, Tuple[0,1,0.6728613418531175,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0182, answer_create, 65056
2014-12-10 11:40:37:0182, edge_create, Tuple[1,2,0.817253893468293,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0182, answer_create, 65059
2014-12-10 11:40:37:0198, edge_create, Tuple[1,3,0.7704259709563719,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0198, answer_create, 65185
2014-12-10 11:40:37:0198, edge_create, Tuple[1,4,0.8238033623513836,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0198, answer_create, 65049
2014-12-10 11:40:37:0198, edge_create, Tuple[1,5,0.04144277473722546,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0198, answer_create, 65282
2014-12-10 11:40:37:0198, edge_create, Tuple[1,6,0.3506350054213456,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0198, answer_create, 65362
2014-12-10 11:40:37:0198, edge_create, Tuple[1,7,0.024359624041367378,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0198, answer_create, 65219
2014-12-10 11:40:37:0198, edge_create, Tuple[1,8,0.27587440314920386,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0198, answer_create, 65943
2014-12-10 11:40:37:0198, edge_create, Tuple[1,9,0.3440213550837563,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0198, answer_create, 65949
2014-12-10 11:40:37:0198, edge_create, Tuple[1,10,0.5332153633041818,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0198, answer_create, 158141
2014-12-10 11:40:37:0213, edge_create, Tuple[1,11,0.6891022502138945,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0214, answer_create, 296053
2014-12-10 11:40:37:0215, edge_create, Tuple[1,12,0.17031121659726467,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0215, answer_create, 277249
2014-12-10 11:40:37:0215, edge_create, Tuple[1,13,0.5478681158198481,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0215, answer_create, 2902578
2014-12-10 11:40:37:0215, edge_create, Tuple[1,14,0.07489597433123074,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0215, answer_create, 2824754
2014-12-10 11:40:37:0215, edge_create, Tuple[1,15,0.9129495122071737,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0215, answer_create, 2824758
2014-12-10 11:40:37:0215, edge_create, Tuple[1,16,0.33403351519703506,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0215, answer_create, 2824998
2014-12-10 11:40:37:0215, edge_create, Tuple[1,17,0.24099103747257755,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0215, answer_create, 2824759
2014-12-10 11:40:37:0215, edge_create, Tuple[1,18,0.5569021649666043,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0215, answer_create, 2824762
2014-12-10 11:40:37:0215, edge_create, Tuple[1,19,0.7028472454276945,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0215, answer_create, 2826472
2014-12-10 11:40:37:0231, edge_create, Tuple[1,20,0.7230475203305595,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0231, answer_create, 2902505
2014-12-10 11:40:37:0231, edge_create, Tuple[1,21,0.7752430544356838,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0231, answer_create, 10188271
2014-12-10 11:40:37:0231, edge_create, Tuple[1,22,0.7522104514598781,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0231, answer_create, 7756997
2014-12-10 11:40:37:0231, edge_create, Tuple[1,23,0.29945090131530294,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0231, answer_create, 16604763
2014-12-10 11:40:37:0231, edge_create, Tuple[1,24,0.8929188376120509,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0231, answer_create, 17634958
2014-12-10 11:40:37:0231, edge_create, Tuple[1,25,0.5136295209226596,4,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0231, edge_create, Tuple[0,26,0.6374016472298593,2,1.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0231, pattern_create, 2
2014-12-10 11:40:37:0231, edge_create, Tuple[26,27,0.20321327033619874,2,1.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0231, edge_create, Tuple[0,28,0.4605523669387743,1,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0231, edge_create, Tuple[28,29,0.9114598228231592,1,0.0,1418229604156,1418229604156]
2014-12-10 11:40:37:0246, edge_create, Tuple[28,30,0.5992667381780551,1,0.0,1418229604156,1418229604156]
