datetime,ipaddress,userid,handle,cookieid,event,params
11/15/2014 6:42,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=37628&qa_1=what-is-reflection-and-w...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:42,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=37628&qa_1=what-is-reflection-and-w...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:42,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=37628&qa_1=what-is-reflection-and-w...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:42,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=37628&qa_1=what-is-reflection-and-w...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:43,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=37628&qa_1=what-is-reflection-and-w...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:43,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=37628&qa_1=what-is-reflection-and-w...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:43,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=37628&qa_1=what-is-reflection-and-w...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:43,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=37628&qa_1=what-is-reflection-and-w...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:43,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=37628&qa_1=what-is-reflection-and-w...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:43,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=37628&qa_1=what-is-reflection-and-w...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=37628&qa_1=what-is-reflection-and-w...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=37628&qa_1=what-is-reflection-and-w...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=questions	sort=	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=67275&qa_1=reading-from-zipinputstr...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=67275&qa_1=reading-from-zipinputstr...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=unanswered	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=66455&qa_1=there-easy-change-behavi...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=66455&qa_1=there-easy-change-behavi...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=ask	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=tags	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=unanswered	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=tags	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=tag&qa_1=c%2B%2B	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=64582&qa_1=c-java-performance-for-n...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=64582&qa_1=c-java-performance-for-n...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=questions	sort=	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=1&qa_1=this-is-a-sample-question	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=1&qa_1=this-is-a-sample-question	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=questions	sort=	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=login&to=index.php%3Fqa%3Dquestions	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,NULL,NULL,NULL,page_enter,"params=qa=login&to=index.php%3Fqa%3Dquestions	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,1,ezegarra,NULL,u_login,
11/15/2014 6:44,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=questions	sort=	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=general	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:44,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=layout	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:45,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=posting	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:45,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=viewing	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:46,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=viewing	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:46,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=lists	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:46,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=categories	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:46,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=permissions	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:47,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=feeds	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:47,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=points	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:47,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=spam	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:47,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=stats	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:47,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=mailing	path=/~ezegarra/microprobe4/index.php"
