2014-03-18 03:15:27:0556, setup_loaddata
2014-03-18 03:15:27:0724, question_create, -718702455
2014-03-18 03:15:27:0947, answer_create, 133
2014-03-18 03:15:27:0949, edge_create, Tuple[0,1,0.9004208722801768,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0949, answer_create, 183
2014-03-18 03:15:27:0950, edge_create, Tuple[0,2,0.003195443303059542,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0950, answer_create, 190
2014-03-18 03:15:27:0950, edge_create, Tuple[0,3,0.10286406624402833,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0951, answer_create, 540
2014-03-18 03:15:27:0951, edge_create, Tuple[0,4,0.6751638024463936,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0952, answer_create, 939
2014-03-18 03:15:27:0952, edge_create, Tuple[0,5,0.6374556288206281,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0953, answer_create, 6726
2014-03-18 03:15:27:0953, edge_create, Tuple[0,6,0.14042904653604826,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0954, answer_create, 21413
2014-03-18 03:15:27:0955, edge_create, Tuple[0,7,0.9975006881108092,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0955, answer_create, 53547
2014-03-18 03:15:27:0956, edge_create, Tuple[0,8,0.26634824483535136,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0956, answer_create, 74018
2014-03-18 03:15:27:0957, edge_create, Tuple[0,9,0.18191436331123745,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0958, answer_create, 144768
2014-03-18 03:15:27:0959, edge_create, Tuple[0,10,0.227695137373377,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0959, answer_create, 155146
2014-03-18 03:15:27:0960, edge_create, Tuple[0,11,0.8577574085209968,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0960, answer_create, 161058
2014-03-18 03:15:27:0961, edge_create, Tuple[0,12,0.02947056081721844,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0961, answer_create, 208799
2014-03-18 03:15:27:0962, edge_create, Tuple[0,13,0.9995231611839436,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0962, answer_create, 3455575
2014-03-18 03:15:27:0963, edge_create, Tuple[0,14,0.9154725363315015,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0963, answer_create, 12791308
2014-03-18 03:15:27:0964, edge_create, Tuple[0,15,0.17216232866223857,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0964, answer_create, 16483567
2014-03-18 03:15:27:0965, edge_create, Tuple[0,16,0.18219239676236876,4,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0967, question_create, -1663432747
2014-03-18 03:15:27:0968, edge_create, Tuple[0,17,0.26733086325398114,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0969, question_create, 773846417
2014-03-18 03:15:27:0970, edge_create, Tuple[0,18,0.4087764246365515,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0971, question_create, -1479316008
2014-03-18 03:15:27:0972, edge_create, Tuple[0,19,0.5113546533848975,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0974, question_create, 2078755178
2014-03-18 03:15:27:0975, edge_create, Tuple[0,20,0.5303705526870882,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0976, question_create, -1963435455
2014-03-18 03:15:27:0977, edge_create, Tuple[0,21,0.2341480724891093,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0979, question_create, 1344647141
2014-03-18 03:15:27:0979, edge_create, Tuple[0,22,0.46459070319675577,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0981, question_create, 287728484
2014-03-18 03:15:27:0981, edge_create, Tuple[0,23,0.5964560253802939,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0983, question_create, -1059611347
2014-03-18 03:15:27:0984, edge_create, Tuple[0,24,0.789134860118575,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0985, question_create, 837969219
2014-03-18 03:15:27:0986, edge_create, Tuple[0,25,0.5636183048030198,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0988, question_create, -1078596173
2014-03-18 03:15:27:0989, edge_create, Tuple[0,26,0.8935156206833431,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0990, question_create, 1444747608
2014-03-18 03:15:27:0991, edge_create, Tuple[0,27,0.8692579972812708,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0992, question_create, -686615631
2014-03-18 03:15:27:0993, edge_create, Tuple[0,28,0.2204983255122025,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0994, question_create, 739697501
2014-03-18 03:15:27:0995, edge_create, Tuple[0,29,0.23863449277599347,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0996, question_create, -2016820483
2014-03-18 03:15:27:0997, edge_create, Tuple[0,30,0.5391609090249154,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:27:0999, question_create, 238088195
2014-03-18 03:15:28:0000, edge_create, Tuple[0,31,0.0082278116938449,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:28:0001, question_create, 1759377712
2014-03-18 03:15:28:0002, edge_create, Tuple[0,32,0.18374437863110427,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:28:0003, question_create, -284759223
2014-03-18 03:15:28:0004, edge_create, Tuple[0,33,0.3714174525161301,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:28:0005, question_create, 422639277
2014-03-18 03:15:28:0005, edge_create, Tuple[0,34,0.2659521113862855,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:28:0007, question_create, 914075392
2014-03-18 03:15:28:0007, edge_create, Tuple[0,35,0.8797498207632252,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:28:0009, question_create, -1451318447
2014-03-18 03:15:28:0009, edge_create, Tuple[0,36,0.6724993700120382,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:28:0011, question_create, -1370014171
2014-03-18 03:15:28:0011, edge_create, Tuple[0,37,0.9893575314223793,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:28:0013, question_create, 1155952475
2014-03-18 03:15:28:0013, edge_create, Tuple[0,38,0.015795851051798704,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:28:0014, question_create, -2094796144
2014-03-18 03:15:28:0015, edge_create, Tuple[0,39,0.6135754350033176,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:28:0016, question_create, 137467611
2014-03-18 03:15:28:0017, edge_create, Tuple[0,40,0.8568337542012794,1,0.0,1395126926620,1395126926620]
2014-03-18 03:15:28:0066, setup_resizewin
2014-03-18 03:15:29:0511, diag_itementered, id=4922, type=1
2014-03-18 03:15:29:0566, diag_itemexited, id=4922, type=1
2014-03-18 03:15:29:0590, diag_itementered, id=5078, type=1
2014-03-18 03:15:29:0644, diag_itemexited, id=5078, type=1
2014-03-18 03:15:51:0920, list_mouseentered, 3881
2014-03-18 03:15:52:0241, list_mouseexited
