2014-03-22 07:02:33:0092, setup_loaddata
2014-03-22 07:02:33:0248, question_create, 1848794598
2014-03-22 07:02:33:0451, answer_create, 133
2014-03-22 07:02:33:0451, edge_create, Tuple[0,1,0.8375319000242187,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0451, answer_create, 183
2014-03-22 07:02:33:0451, edge_create, Tuple[0,2,0.3803439870196861,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0451, answer_create, 190
2014-03-22 07:02:33:0451, edge_create, Tuple[0,3,0.46631771077239625,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0451, answer_create, 540
2014-03-22 07:02:33:0451, edge_create, Tuple[0,4,0.19589065792689908,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0451, answer_create, 939
2014-03-22 07:02:33:0451, edge_create, Tuple[0,5,0.41531857618955315,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0451, answer_create, 6726
2014-03-22 07:02:33:0451, edge_create, Tuple[0,6,0.16548882278261556,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0451, answer_create, 21413
2014-03-22 07:02:33:0451, edge_create, Tuple[0,7,0.9553808207347311,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0451, answer_create, 53547
2014-03-22 07:02:33:0451, edge_create, Tuple[0,8,0.20299126664720435,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0451, answer_create, 74018
2014-03-22 07:02:33:0451, edge_create, Tuple[0,9,0.5283731404489243,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0451, answer_create, 144768
2014-03-22 07:02:33:0451, edge_create, Tuple[0,10,0.2809649162910488,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0467, answer_create, 155146
2014-03-22 07:02:33:0467, edge_create, Tuple[0,11,0.0628786007622898,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0467, answer_create, 161058
2014-03-22 07:02:33:0467, edge_create, Tuple[0,12,0.5760156529439254,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0467, answer_create, 208799
2014-03-22 07:02:33:0467, edge_create, Tuple[0,13,0.01287612436429364,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0467, answer_create, 3455575
2014-03-22 07:02:33:0467, edge_create, Tuple[0,14,0.09991920635702867,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0467, answer_create, 12791308
2014-03-22 07:02:33:0467, edge_create, Tuple[0,15,0.5383294601367664,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0467, answer_create, 16483567
2014-03-22 07:02:33:0467, edge_create, Tuple[0,16,0.7327465114867999,4,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0467, question_create, -1506468870
2014-03-22 07:02:33:0467, edge_create, Tuple[0,17,0.5322213709560767,1,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0467, question_create, -1174506213
2014-03-22 07:02:33:0467, edge_create, Tuple[0,18,0.9704487485623985,1,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0467, question_create, 1233353928
2014-03-22 07:02:33:0467, edge_create, Tuple[0,19,0.04850508055284897,1,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0467, question_create, -1271014118
2014-03-22 07:02:33:0467, edge_create, Tuple[0,20,0.11077778595738985,1,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0467, question_create, -955310202
2014-03-22 07:02:33:0467, edge_create, Tuple[0,21,0.006462586551367333,1,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0482, question_create, 272698155
2014-03-22 07:02:33:0482, edge_create, Tuple[0,22,0.7168807328943951,1,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0482, question_create, -841553679
2014-03-22 07:02:33:0482, edge_create, Tuple[0,23,0.017462501134953068,1,0.0,1395486152109,1395486152109]
2014-03-22 07:02:33:0482, question_create, 2070403623
