2014-03-28 03:42:33:0557, setup_loaddata
2014-03-28 03:42:35:0310, diag_itementered, id=8569, type=1
2014-03-28 03:42:35:0358, diag_itemexited, id=8569, type=1
2014-03-28 03:42:35:0707, diag_itementered, id=7779, type=1
2014-03-28 03:42:37:0408, edge_create, Tuple[0,1,0.07212451026984468,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0411, edge_create, Tuple[1,2,0.8467594256611762,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0413, edge_create, Tuple[1,3,0.10070565701698309,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0414, edge_create, Tuple[1,4,0.728388190077388,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0415, edge_create, Tuple[1,5,3.7649471735468065E-4,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0416, edge_create, Tuple[1,6,0.33309206225593857,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0418, edge_create, Tuple[1,7,0.8986098628017082,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0419, edge_create, Tuple[1,8,0.9654958992666258,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0419, edge_create, Tuple[1,9,0.6391924470862584,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0420, edge_create, Tuple[1,10,0.9889632335587595,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0421, edge_create, Tuple[1,11,0.1938584359683363,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0422, edge_create, Tuple[1,12,0.05405879937577296,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0423, edge_create, Tuple[1,13,0.09862680729690498,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0424, edge_create, Tuple[1,14,0.25563512204026606,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0425, edge_create, Tuple[1,15,0.5176140586677118,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0426, edge_create, Tuple[1,16,0.10591684768693876,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0427, edge_create, Tuple[1,17,0.28392448972497,1,0.0,1396035752552,1396035752552]
2014-03-28 03:42:37:0461, diag_itemclicked, id=7779, type=1
2014-03-28 03:42:38:0752, diag_itemexited, id=7779, type=1
2014-03-28 03:42:45:0976, edge_create, Tuple[36,500,0.5128697616379146,1,0.0,1394919271835,1394919271835]
