2014-11-22 06:57:54:0364, list_mousemoved, id=62276, type=1
2014-11-22 06:57:54:0382, list_mousemoved, id=62276, type=1
2014-11-22 06:57:54:0398, list_mousemoved, id=62276, type=1
2014-11-22 06:57:54:0414, list_mousemoved, id=62276, type=1
2014-11-22 06:57:54:0429, list_mousemoved, id=62276, type=1
2014-11-22 06:57:54:0445, list_mousemoved, id=62276, type=1
2014-11-22 06:57:54:0460, list_mousemoved, id=61615, type=1
2014-11-22 06:57:54:0476, list_mousemoved, id=61615, type=1
2014-11-22 06:57:54:0492, list_mousemoved, id=61615, type=1
2014-11-22 06:57:54:0507, list_mousemoved, id=61615, type=1
2014-11-22 06:57:54:0523, list_mousemoved, id=61615, type=1
2014-11-22 06:57:54:0538, list_mousemoved, id=61615, type=1
2014-11-22 06:57:54:0554, list_mousemoved, id=61615, type=1
2014-11-22 06:57:54:0570, list_mousemoved, id=61615, type=1
2014-11-22 06:57:54:0585, list_mousemoved, id=61615, type=1
2014-11-22 06:57:54:0601, list_mousemoved, id=21817, type=1
2014-11-22 06:57:54:0616, list_mousemoved, id=21817, type=1
2014-11-22 06:57:54:0632, list_mousemoved, id=21817, type=1
2014-11-22 06:57:54:0648, list_mousemoved, id=21817, type=1
2014-11-22 06:57:54:0663, list_mousemoved, id=21817, type=1
2014-11-22 06:57:54:0679, list_mousemoved, id=21817, type=1
2014-11-22 06:57:54:0694, list_mouseexited
2014-11-22 06:57:54:0931, list_mouseentered, id=21817, type=1
2014-11-22 06:57:54:0931, list_mousemoved, id=21817, type=1
2014-11-22 06:57:54:0978, list_mousemoved, id=21817, type=1
2014-11-22 06:57:55:0009, list_mousemoved, id=21817, type=1
2014-11-22 06:57:55:0025, list_mousemoved, id=21817, type=1
2014-11-22 06:57:55:0056, list_mousemoved, id=21817, type=1
2014-11-22 06:57:55:0071, list_mousemoved, id=21817, type=1
2014-11-22 06:57:55:0087, list_mouseexited
2014-11-22 06:57:56:0449, list_mouseentered, id=21817, type=1
2014-11-22 06:57:56:0449, list_mousemoved, id=21817, type=1
2014-11-22 06:57:56:0480, list_mousemoved, id=21817, type=1
2014-11-22 06:57:56:0496, list_mousemoved, id=21817, type=1
2014-11-22 06:57:56:0512, list_mousemoved, id=21817, type=1
2014-11-22 06:57:56:0512, list_mousemoved, id=21817, type=1
2014-11-22 06:57:56:0527, list_mousemoved, id=21817, type=1
2014-11-22 06:57:56:0558, list_mousemoved, id=21817, type=1
2014-11-22 06:57:56:0574, list_mousemoved, id=21817, type=1
2014-11-22 06:57:56:0574, list_mousemoved, id=21817, type=1
2014-11-22 06:57:56:0590, list_mousemoved, id=21817, type=1
2014-11-22 06:57:56:0621, list_mousemoved, id=61615, type=1
2014-11-22 06:57:56:0636, list_mousemoved, id=61615, type=1
2014-11-22 06:57:56:0636, list_mousemoved, id=61615, type=1
2014-11-22 06:57:56:0652, list_mousemoved, id=61615, type=1
2014-11-22 06:57:56:0683, list_mousemoved, id=61615, type=1
2014-11-22 06:57:56:0683, list_mousemoved, id=62276, type=1
2014-11-22 06:57:56:0699, list_mousemoved, id=62276, type=1
2014-11-22 06:57:56:0730, list_mousemoved, id=62276, type=1
2014-11-22 06:57:56:0746, list_mousemoved, id=62276, type=1
2014-11-22 06:57:56:0746, list_mousemoved, id=62276, type=1
2014-11-22 06:57:56:0777, list_mouseexited
2014-11-22 06:58:03:0151, list_mouseentered, id=62276, type=1
2014-11-22 06:58:03:0151, list_mousemoved, id=62276, type=1
2014-11-22 06:58:03:0182, list_mousemoved, id=62276, type=1
2014-11-22 06:58:03:0198, list_mousemoved, id=62276, type=1
2014-11-22 06:58:03:0213, list_mousemoved, id=62276, type=1
2014-11-22 06:58:03:0229, list_mousemoved, id=62276, type=1
2014-11-22 06:58:03:0245, list_mousemoved, id=62276, type=1
2014-11-22 06:58:03:0260, list_mousemoved, id=61615, type=1
2014-11-22 06:58:03:0291, list_mousemoved, id=61615, type=1
2014-11-22 06:58:03:0307, list_mousemoved, id=61615, type=1
2014-11-22 06:58:03:0323, list_mousemoved, id=61615, type=1
2014-11-22 06:58:03:0354, list_mousemoved, id=61615, type=1
2014-11-22 06:58:03:0354, list_mousemoved, id=61615, type=1
2014-11-22 06:58:03:0385, list_mousemoved, id=61615, type=1
2014-11-22 06:58:03:0401, list_mousemoved, id=61615, type=1
2014-11-22 06:58:03:0416, list_mousemoved, id=61615, type=1
2014-11-22 06:58:03:0432, list_mousemoved, id=61615, type=1
2014-11-22 06:58:03:0447, list_mousemoved, id=61615, type=1
2014-11-22 06:58:03:0463, list_mousemoved, id=61615, type=1
2014-11-22 06:58:03:0465, list_mousemoved, id=61615, type=1
2014-11-22 06:58:03:0481, list_mousemoved, id=21817, type=1
2014-11-22 06:58:03:0512, list_mousemoved, id=21817, type=1
2014-11-22 06:58:03:0512, list_mousemoved, id=21817, type=1
2014-11-22 06:58:03:0543, list_mousemoved, id=21817, type=1
2014-11-22 06:58:03:0559, list_mousemoved, id=21817, type=1
2014-11-22 06:58:03:0575, list_mousemoved, id=21817, type=1
2014-11-22 06:58:03:0575, list_mousemoved, id=21817, type=1
2014-11-22 06:58:03:0606, list_mousemoved, id=21817, type=1
2014-11-22 06:58:03:0621, list_mousemoved, id=21817, type=1
2014-11-22 06:58:03:0621, list_mousemoved, id=21817, type=1
2014-11-22 06:58:03:0637, list_mousemoved, id=21817, type=1
2014-11-22 06:58:03:0668, list_mousemoved, id=21817, type=1
2014-11-22 06:58:03:0684, list_mousemoved, id=21817, type=1
2014-11-22 06:58:03:0715, list_mousemoved, id=21817, type=1
2014-11-22 06:58:03:0746, list_mousemoved, id=21817, type=1
2014-11-22 06:58:13:0398, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0398, list_mouseexited
2014-11-22 06:58:13:0461, list_mouseentered, id=24723, type=1
2014-11-22 06:58:13:0461, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0476, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0492, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0508, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0523, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0539, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0557, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0559, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0622, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0700, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0715, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0731, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0887, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0934, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0965, list_mousemoved, id=24723, type=1
2014-11-22 06:58:13:0981, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0012, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0027, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0043, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0059, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0074, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0090, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0105, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0121, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0137, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0168, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0183, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0215, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0230, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0246, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0261, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0277, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0308, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0308, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0324, list_mousemoved, id=24723, type=1
2014-11-22 06:58:14:0339, list_mousemoved, id=3049, type=1
2014-11-22 06:58:14:0371, list_mousemoved, id=3049, type=1
2014-11-22 06:58:14:0371, list_mousemoved, id=3049, type=1
2014-11-22 06:58:14:0386, list_mousemoved, id=3049, type=1
2014-11-22 06:58:14:0402, list_mousemoved, id=3049, type=1
2014-11-22 06:58:14:0417, list_mouseexited
