2014-03-22 05:07:01:0194, setup_loaddata
2014-03-22 05:07:01:0350, question_create, 1155914107
2014-03-22 05:07:02:0551, question_create, 1013296278
2014-03-22 05:07:02:0551, edge_create, Tuple[0,1,0.6307750869209114,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0567, question_create, -1037904802
2014-03-22 05:07:02:0567, edge_create, Tuple[0,2,0.06548888071922487,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0567, question_create, 1898521311
2014-03-22 05:07:02:0567, edge_create, Tuple[0,3,0.25067589649311894,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0567, question_create, 1333617637
2014-03-22 05:07:02:0567, edge_create, Tuple[0,4,0.11615312510315756,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0567, question_create, -1784590613
2014-03-22 05:07:02:0567, edge_create, Tuple[0,5,0.45769670635746396,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0567, question_create, 673147837
2014-03-22 05:07:02:0567, edge_create, Tuple[0,6,0.49477773060191077,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0567, question_create, -150397713
2014-03-22 05:07:02:0567, edge_create, Tuple[0,7,0.8489029583538741,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0567, question_create, -1517515623
2014-03-22 05:07:02:0567, edge_create, Tuple[0,8,0.2979391278870661,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0567, question_create, -164069787
2014-03-22 05:07:02:0567, edge_create, Tuple[0,9,0.5658202501414215,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0567, question_create, -1820267211
2014-03-22 05:07:02:0567, edge_create, Tuple[0,10,0.03217109654591421,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0567, question_create, -1552327711
2014-03-22 05:07:02:0567, edge_create, Tuple[0,11,0.7600009535183851,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0583, question_create, -445330046
2014-03-22 05:07:02:0583, edge_create, Tuple[0,12,0.4798748885073999,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0583, question_create, -624280256
2014-03-22 05:07:02:0583, edge_create, Tuple[0,13,0.2004894598079685,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0583, question_create, 1131558288
2014-03-22 05:07:02:0583, edge_create, Tuple[0,14,0.9644246907255019,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0583, question_create, -1454746400
2014-03-22 05:07:02:0583, edge_create, Tuple[0,15,0.4020150590479966,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0583, question_create, -1290747538
2014-03-22 05:07:02:0583, edge_create, Tuple[0,16,0.32702225484606395,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0583, question_create, 2021808367
2014-03-22 05:07:02:0583, edge_create, Tuple[0,17,0.3355452236416031,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0583, question_create, -678014245
2014-03-22 05:07:02:0583, edge_create, Tuple[0,18,0.43728893828343873,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0583, question_create, 1170765130
2014-03-22 05:07:02:0583, edge_create, Tuple[0,19,0.19335832092263538,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0583, question_create, -1559617227
2014-03-22 05:07:02:0583, edge_create, Tuple[0,20,0.34996106482760625,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0583, question_create, -1659594429
2014-03-22 05:07:02:0583, edge_create, Tuple[0,21,0.49970769988969066,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0583, question_create, -1238156261
2014-03-22 05:07:02:0583, edge_create, Tuple[0,22,0.5267307732702791,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0583, question_create, 1157636362
2014-03-22 05:07:02:0583, edge_create, Tuple[0,23,0.43798627136000456,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0583, question_create, 159984189
2014-03-22 05:07:02:0583, edge_create, Tuple[0,24,0.3974706896097643,1,0.0,1395479220242,1395479220242]
2014-03-22 05:07:02:0662, setup_resizewin
2014-03-22 05:07:15:0286, setup_loaddata
2014-03-22 05:07:15:0458, question_create, 697903294
2014-03-22 05:07:17:0065, answer_create, 133
2014-03-22 05:07:17:0065, edge_create, Tuple[0,1,0.683776883554255,4,0.0,1395479234332,1395479234332]
2014-03-22 05:07:17:0065, answer_create, 183
2014-03-22 05:07:17:0065, edge_create, Tuple[0,2,0.8723117764314093,4,0.0,1395479234332,1395479234332]
2014-03-22 05:07:17:0065, answer_create, 190
2014-03-22 05:07:17:0065, edge_create, Tuple[0,3,0.3896005063096515,4,0.0,1395479234332,1395479234332]
2014-03-22 05:07:17:0065, answer_create, 540
2014-03-22 05:07:17:0065, edge_create, Tuple[0,4,0.5739864222910553,4,0.0,1395479234332,1395479234332]
2014-03-22 05:07:17:0065, answer_create, 939
2014-03-22 05:07:17:0065, edge_create, Tuple[0,5,0.9456154920035709,4,0.0,1395479234332,1395479234332]
2014-03-22 05:07:17:0065, answer_create, 6726
2014-03-22 05:07:17:0065, edge_create, Tuple[0,6,0.25835222665732227,4,0.0,1395479234332,1395479234332]
2014-03-22 05:07:17:0065, answer_create, 21413
2014-03-22 05:07:17:0065, edge_create, Tuple[0,7,0.8528652211473023,4,0.0,1395479234332,1395479234332]
2014-03-22 05:07:17:0065, answer_create, 53547
2014-03-22 05:07:17:0065, edge_create, Tuple[0,8,0.3102283612004676,4,0.0,1395479234332,1395479234332]
2014-03-22 05:07:17:0065, answer_create, 74018
2014-03-22 05:07:17:0065, edge_create, Tuple[0,9,0.4551555587835192,4,0.0,1395479234332,1395479234332]
2014-03-22 05:07:17:0065, answer_create, 144768
2014-03-22 05:07:17:0081, edge_create, Tuple[0,10,0.8712872566650505,4,0.0,1395479234332,1395479234332]
2014-03-22 05:07:17:0081, answer_create, 155146
