2014-03-18 04:05:47:0740, setup_loaddata
2014-03-18 04:05:47:0910, question_create, -1750257210
2014-03-18 04:05:48:0115, answer_create, 133
2014-03-18 04:05:48:0116, edge_create, Tuple[0,1,0.5836335143835136,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0117, answer_create, 183
2014-03-18 04:05:48:0117, edge_create, Tuple[0,2,0.012145506862490052,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0118, answer_create, 190
2014-03-18 04:05:48:0118, edge_create, Tuple[0,3,0.8326566842367288,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0118, answer_create, 540
2014-03-18 04:05:48:0119, edge_create, Tuple[0,4,0.7810169586269108,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0119, answer_create, 939
2014-03-18 04:05:48:0120, edge_create, Tuple[0,5,0.11410698872523717,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0120, answer_create, 6726
2014-03-18 04:05:48:0121, edge_create, Tuple[0,6,0.33261121539653205,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0121, answer_create, 21413
2014-03-18 04:05:48:0121, edge_create, Tuple[0,7,0.5653637899037521,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0122, answer_create, 53547
2014-03-18 04:05:48:0122, edge_create, Tuple[0,8,0.24484620003117596,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0123, answer_create, 74018
2014-03-18 04:05:48:0123, edge_create, Tuple[0,9,0.31823736111770007,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0123, answer_create, 144768
2014-03-18 04:05:48:0124, edge_create, Tuple[0,10,0.20902850999020206,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0124, answer_create, 155146
2014-03-18 04:05:48:0125, edge_create, Tuple[0,11,0.643322315621984,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0125, answer_create, 161058
2014-03-18 04:05:48:0126, edge_create, Tuple[0,12,0.5420772366555464,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0126, answer_create, 208799
2014-03-18 04:05:48:0126, edge_create, Tuple[0,13,0.13386547371020585,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0127, answer_create, 3455575
2014-03-18 04:05:48:0127, edge_create, Tuple[0,14,0.473949796513472,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0128, answer_create, 12791308
2014-03-18 04:05:48:0128, edge_create, Tuple[0,15,0.021690390401038373,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0128, answer_create, 16483567
2014-03-18 04:05:48:0129, edge_create, Tuple[0,16,0.33452129505780503,4,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0131, question_create, -149308627
2014-03-18 04:05:48:0132, edge_create, Tuple[0,17,0.8643328716989067,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0133, question_create, -184259130
2014-03-18 04:05:48:0134, edge_create, Tuple[0,18,0.09647772831606516,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0135, question_create, 1057974790
2014-03-18 04:05:48:0135, edge_create, Tuple[0,19,0.3734965676337282,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0137, question_create, 584864026
2014-03-18 04:05:48:0137, edge_create, Tuple[0,20,0.06523733563034984,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0138, question_create, -173018730
2014-03-18 04:05:48:0139, edge_create, Tuple[0,21,0.04761152621675746,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0140, question_create, -769493046
2014-03-18 04:05:48:0141, edge_create, Tuple[0,22,0.09470814702286467,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0142, question_create, 72825742
2014-03-18 04:05:48:0143, edge_create, Tuple[0,23,0.1424188452224795,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0144, question_create, 667007566
2014-03-18 04:05:48:0145, edge_create, Tuple[0,24,0.6481380806376495,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0145, question_create, -69911000
2014-03-18 04:05:48:0146, edge_create, Tuple[0,25,0.5390677089081622,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0147, question_create, 1774238814
2014-03-18 04:05:48:0147, edge_create, Tuple[0,26,0.7485034573105066,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0149, question_create, 1636198882
2014-03-18 04:05:48:0150, edge_create, Tuple[0,27,0.9258433449169663,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0151, question_create, 854992731
2014-03-18 04:05:48:0152, edge_create, Tuple[0,28,0.17387207822544026,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0153, question_create, 606527411
2014-03-18 04:05:48:0154, edge_create, Tuple[0,29,0.9982586562925074,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0155, question_create, 488789901
2014-03-18 04:05:48:0156, edge_create, Tuple[0,30,0.20442676668204318,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0157, question_create, 420808398
2014-03-18 04:05:48:0157, edge_create, Tuple[0,31,0.3485774286662714,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0158, question_create, 1190832193
2014-03-18 04:05:48:0159, edge_create, Tuple[0,32,0.49857639068585957,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0160, question_create, 879446337
2014-03-18 04:05:48:0160, edge_create, Tuple[0,33,0.07846618962900531,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0161, question_create, 79788537
2014-03-18 04:05:48:0162, edge_create, Tuple[0,34,0.33249049809924514,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0162, question_create, -1748964075
2014-03-18 04:05:48:0163, edge_create, Tuple[0,35,0.20291417367722064,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0164, question_create, -755621352
2014-03-18 04:05:48:0164, edge_create, Tuple[0,36,0.7666069561716576,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0165, question_create, -51889899
2014-03-18 04:05:48:0165, edge_create, Tuple[0,37,0.6168887338839513,1,0.0,1395129946793,1395129946793]
2014-03-18 04:05:48:0166, question_create, -2008385186
