2014-03-18 09:37:00:0933, setup_loaddata
2014-03-18 09:37:01:0217, question_create, 485889039
2014-03-18 09:37:02:0484, question_create, 1411843452
2014-03-18 09:37:02:0485, edge_create, Tuple[0,1,0.6990295109349548,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0487, question_create, 612053092
2014-03-18 09:37:02:0488, edge_create, Tuple[0,2,0.5101996291519794,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0490, question_create, -1182084318
2014-03-18 09:37:02:0491, edge_create, Tuple[0,3,0.7373608435413194,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0493, question_create, 725168215
2014-03-18 09:37:02:0494, edge_create, Tuple[0,4,0.5284961282017483,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0496, question_create, -317491991
2014-03-18 09:37:02:0497, edge_create, Tuple[0,5,0.4922031235369303,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0499, question_create, -1487532549
2014-03-18 09:37:02:0500, edge_create, Tuple[0,6,0.004979856903201574,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0503, question_create, 142183254
2014-03-18 09:37:02:0503, edge_create, Tuple[0,7,0.8406946180130994,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0506, question_create, 35249431
2014-03-18 09:37:02:0507, edge_create, Tuple[0,8,0.3375065944054425,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0508, question_create, 1923807954
2014-03-18 09:37:02:0509, edge_create, Tuple[0,9,0.7114575685556802,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0511, question_create, -1626250195
2014-03-18 09:37:02:0511, edge_create, Tuple[0,10,0.775532827026009,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0513, question_create, 1883726739
2014-03-18 09:37:02:0513, edge_create, Tuple[0,11,0.2376477795331008,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0514, question_create, -834284385
2014-03-18 09:37:02:0515, edge_create, Tuple[0,12,0.9290051704785668,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0516, question_create, -437526056
2014-03-18 09:37:02:0516, edge_create, Tuple[0,13,0.3166669289928479,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0517, question_create, 1747572151
2014-03-18 09:37:02:0518, edge_create, Tuple[0,14,0.7116467837862206,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0518, question_create, -1522431967
2014-03-18 09:37:02:0519, edge_create, Tuple[0,15,0.9743417636843755,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0520, question_create, -1636344435
2014-03-18 09:37:02:0520, edge_create, Tuple[0,16,0.048758702963922707,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0521, question_create, -1691870176
2014-03-18 09:37:02:0521, edge_create, Tuple[0,17,0.4195217228616064,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0522, question_create, 1616951309
2014-03-18 09:37:02:0523, edge_create, Tuple[0,18,0.7704323275496052,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0523, question_create, -1633601420
2014-03-18 09:37:02:0524, edge_create, Tuple[0,19,0.4849110724905712,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0524, question_create, 741359172
2014-03-18 09:37:02:0525, edge_create, Tuple[0,20,0.3248334499989346,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0526, question_create, 198655757
2014-03-18 09:37:02:0526, edge_create, Tuple[0,21,0.4739142046458332,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0527, question_create, 1379189950
2014-03-18 09:37:02:0528, edge_create, Tuple[0,22,0.9362889373715108,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0528, question_create, -1803377644
2014-03-18 09:37:02:0529, edge_create, Tuple[0,23,0.6980934737493647,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0530, question_create, -2094556732
2014-03-18 09:37:02:0530, edge_create, Tuple[0,24,0.6119784113895727,1,0.0,1395193019951,1395193019951]
2014-03-18 09:37:02:0596, setup_resizewin
2014-03-18 09:37:04:0055, diag_itementered, id=1641682794, type=0
2014-03-18 09:37:04:0105, diag_itemexited, id=1641682794, type=0
2014-03-18 09:37:04:0106, diag_itementered, id=5514, type=1
2014-03-18 09:37:04:0164, diag_itemexited, id=5514, type=1
2014-03-18 09:37:04:0194, diag_itementered, id=9361, type=1
2014-03-18 09:37:04:0260, diag_itemexited, id=9361, type=1
2014-03-18 09:37:04:0302, diag_itementered, id=7779, type=1
2014-03-18 09:37:04:0400, diag_itemexited, id=7779, type=1
