2014-03-28 06:02:05:0388, setup_loaddata
2014-03-28 06:02:07:0089, diag_itementered, id=6816, type=1
2014-03-28 06:02:07:0136, diag_itemexited, id=6816, type=1
2014-03-28 06:02:07:0682, diag_itementered, id=5222, type=1
2014-03-28 06:02:09:0617, edge_create, Tuple[0,1,0.12415780705691848,1,0.0,1396000924529,1396000924529]
2014-03-28 06:02:09:0617, edge_create, Tuple[1,2,0.8375833918803682,1,0.0,1396000924529,1396000924529]
2014-03-28 06:02:09:0617, edge_create, Tuple[1,3,0.21374933146359487,1,0.0,1396000924529,1396000924529]
2014-03-28 06:02:09:0617, edge_create, Tuple[1,4,0.2762126835770303,1,0.0,1396000924529,1396000924529]
2014-03-28 06:02:09:0617, edge_create, Tuple[1,5,0.30423333292125354,1,0.0,1396000924529,1396000924529]
2014-03-28 06:02:09:0617, edge_create, Tuple[1,6,0.38238105542678946,1,0.0,1396000924529,1396000924529]
2014-03-28 06:02:09:0634, edge_create, Tuple[1,7,0.7671554765355268,1,0.0,1396000924529,1396000924529]
2014-03-28 06:02:09:0634, edge_create, Tuple[1,8,0.8421876763120854,1,0.0,1396000924529,1396000924529]
2014-03-28 06:02:09:0634, edge_create, Tuple[1,9,0.5929072191261462,1,0.0,1396000924529,1396000924529]
2014-03-28 06:02:09:0634, edge_create, Tuple[1,10,0.8224126001717571,1,0.0,1396000924529,1396000924529]
2014-03-28 06:02:09:0681, diag_itemclicked, id=5222, type=1
2014-03-28 06:02:09:0681, diag_itemexited, id=5222, type=1
