2014-03-20 06:57:28:0176, setup_loaddata
2014-03-20 06:57:28:0325, question_create, 952521854
2014-03-20 06:57:29:0644, question_create, 1782268842
2014-03-20 06:57:29:0648, edge_create, Tuple[0,1,0.3958209679262963,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0651, question_create, -1785804003
2014-03-20 06:57:29:0652, edge_create, Tuple[0,2,0.17290858692739786,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0654, question_create, -1087183259
2014-03-20 06:57:29:0655, edge_create, Tuple[0,3,0.49886470769084157,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0658, question_create, -1206265831
2014-03-20 06:57:29:0659, edge_create, Tuple[0,4,0.22683386025002106,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0662, question_create, -1892237133
2014-03-20 06:57:29:0662, edge_create, Tuple[0,5,0.6986385709197893,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0663, question_create, 101742214
2014-03-20 06:57:29:0664, edge_create, Tuple[0,6,0.8410128958377304,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0665, question_create, 1766944768
2014-03-20 06:57:29:0666, edge_create, Tuple[0,7,0.12464268352573082,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0667, question_create, 1680687302
2014-03-20 06:57:29:0668, edge_create, Tuple[0,8,0.5299430909907895,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0669, question_create, -1604393186
2014-03-20 06:57:29:0669, edge_create, Tuple[0,9,0.02868620941066391,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0670, question_create, -1256635877
2014-03-20 06:57:29:0671, edge_create, Tuple[0,10,0.29973010697160274,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0671, question_create, -1247066141
2014-03-20 06:57:29:0672, edge_create, Tuple[0,11,0.38774815526552886,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0673, question_create, -1512745810
2014-03-20 06:57:29:0673, edge_create, Tuple[0,12,0.2094860856894354,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0674, question_create, 486891304
2014-03-20 06:57:29:0675, edge_create, Tuple[0,13,0.3440685523452085,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0676, question_create, -526517332
2014-03-20 06:57:29:0676, edge_create, Tuple[0,14,0.8226339422444714,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0677, question_create, -2004687748
2014-03-20 06:57:29:0677, edge_create, Tuple[0,15,0.47476591163128956,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0678, question_create, -2121793077
2014-03-20 06:57:29:0679, edge_create, Tuple[0,16,0.2519480137650807,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0680, question_create, 1200681809
2014-03-20 06:57:29:0680, edge_create, Tuple[0,17,0.41485145618788233,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0681, question_create, 1922264928
2014-03-20 06:57:29:0682, edge_create, Tuple[0,18,0.97645451815615,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0682, question_create, 1175520902
2014-03-20 06:57:29:0683, edge_create, Tuple[0,19,0.6702733209656344,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0684, question_create, 1013476604
2014-03-20 06:57:29:0684, edge_create, Tuple[0,20,0.9892849950621082,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0685, question_create, 1856448056
2014-03-20 06:57:29:0686, edge_create, Tuple[0,21,0.7986467232678631,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0686, question_create, 1162329187
2014-03-20 06:57:29:0687, edge_create, Tuple[0,22,0.3937309165907231,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0688, question_create, -90592271
2014-03-20 06:57:29:0688, edge_create, Tuple[0,23,0.611053123792023,1,0.0,1395313047208,1395313047208]
2014-03-20 06:57:29:0689, question_create, -1394849831
2014-03-20 06:57:29:0689, edge_create, Tuple[0,24,0.5549707987495337,1,0.0,1395313047208,1395313047208]
