2014-03-23 08:34:20:0559, setup_loaddata
2014-03-23 08:34:20:0934, edge_create, Tuple[0,1,0.7208294572512739,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0934, answer_create, 133
2014-03-23 08:34:20:0934, edge_create, Tuple[1,2,0.7239403218813458,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0934, answer_create, 183
2014-03-23 08:34:20:0934, edge_create, Tuple[1,3,0.67401976584488,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0934, answer_create, 190
2014-03-23 08:34:20:0934, edge_create, Tuple[1,4,0.9916312471530836,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0934, answer_create, 540
2014-03-23 08:34:20:0934, edge_create, Tuple[1,5,0.5621371356414191,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0934, answer_create, 939
2014-03-23 08:34:20:0934, edge_create, Tuple[1,6,0.9803649687977043,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0934, answer_create, 6726
2014-03-23 08:34:20:0934, edge_create, Tuple[1,7,0.11758631134567443,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0934, answer_create, 21413
2014-03-23 08:34:20:0934, edge_create, Tuple[1,8,0.7385927086370667,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0934, answer_create, 53547
2014-03-23 08:34:20:0934, edge_create, Tuple[1,9,0.5550641006778467,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0934, answer_create, 74018
2014-03-23 08:34:20:0934, edge_create, Tuple[1,10,0.1090103759495703,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0934, answer_create, 144768
2014-03-23 08:34:20:0934, edge_create, Tuple[1,11,0.1892818799821142,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0934, answer_create, 155146
2014-03-23 08:34:20:0934, edge_create, Tuple[1,12,0.38641081864790305,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0934, answer_create, 161058
2014-03-23 08:34:20:0949, edge_create, Tuple[1,13,0.52315766489209,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0949, answer_create, 208799
2014-03-23 08:34:20:0949, edge_create, Tuple[1,14,0.12142906437898804,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0949, answer_create, 3455575
2014-03-23 08:34:20:0980, edge_create, Tuple[1,15,0.23490150005466437,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0980, answer_create, 12791308
2014-03-23 08:34:20:0980, edge_create, Tuple[1,16,0.31791887582522993,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0980, answer_create, 16483567
2014-03-23 08:34:20:0980, edge_create, Tuple[1,17,0.7860911923069068,4,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0980, edge_create, Tuple[0,19,0.9141585019186228,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0980, edge_create, Tuple[19,20,0.528388511983292,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0980, edge_create, Tuple[19,21,0.983924867182,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0980, edge_create, Tuple[19,22,0.8533883348039215,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0980, edge_create, Tuple[19,23,0.23117463914830427,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0980, edge_create, Tuple[19,24,0.8982679913334577,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0980, edge_create, Tuple[19,25,0.5357287642007293,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0980, edge_create, Tuple[19,26,0.7700722684280198,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0980, edge_create, Tuple[19,27,0.006702481593531151,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0996, edge_create, Tuple[19,28,0.004921828941315098,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0996, edge_create, Tuple[19,29,0.950804448584915,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0996, edge_create, Tuple[19,30,0.7470831077929182,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0996, edge_create, Tuple[19,31,0.6150249787549823,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0996, edge_create, Tuple[19,32,0.7692243430131859,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0996, edge_create, Tuple[19,33,0.5342459883992731,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0996, edge_create, Tuple[19,34,0.2024703854225106,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0996, edge_create, Tuple[19,35,0.8361592541642823,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0996, edge_create, Tuple[19,36,0.5868463320089721,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0996, edge_create, Tuple[19,37,0.2264278672172063,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0996, edge_create, Tuple[19,38,0.3637820544031404,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:20:0996, edge_create, Tuple[19,39,0.40974463691578744,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:21:0012, edge_create, Tuple[19,40,0.1275743233922566,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:21:0012, edge_create, Tuple[19,41,0.9764316705921188,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:21:0012, edge_create, Tuple[19,42,0.13773483587145352,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:21:0012, edge_create, Tuple[19,43,0.8942143755614267,1,0.0,1395621259589,1395621259589]
2014-03-23 08:34:21:0074, setup_resizewin
2014-03-23 08:34:48:0015, list_mouseentered, 126
2014-03-23 08:34:48:0249, list_mouseexited
