2014-03-26 04:22:27:0173, setup_loaddata
2014-03-26 04:22:27:0579, setup_loaddata
2014-03-26 04:22:28:0000, setup_resizewin
2014-03-26 04:22:50:0579, edge_create, Tuple[1,3,0.7753612336884411,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:50:0579, answer_create, 9652
2014-03-26 04:22:50:0579, edge_create, Tuple[1,4,0.16188227929897192,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:50:0595, answer_create, 9743
2014-03-26 04:22:50:0595, edge_create, Tuple[1,5,0.01868489115006644,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:50:0595, answer_create, 85919
2014-03-26 04:22:50:0595, edge_create, Tuple[1,6,0.7078600829664995,4,0.0,1395822146252,1395822146252]
2014-03-26 04:22:50:0611, diag_itemclicked, id=6765, type=1
2014-03-26 04:22:51:0017, diag_itemexited, id=6765, type=1
2014-03-26 04:22:52:0826, diag_itementered, id=6222, type=1
2014-03-26 04:22:53:0170, diag_itemexited, id=6222, type=1
2014-03-26 04:22:53:0388, diag_itementered, id=5078, type=1
2014-03-26 04:22:53:0653, diag_itemexited, id=5078, type=1
2014-03-26 04:22:53:0778, diag_itementered, id=11088, type=1
2014-03-26 04:22:54:0106, diag_itemexited, id=11088, type=1
2014-03-26 04:22:54:0230, diag_itementered, id=4922, type=1
2014-03-26 04:22:54:0620, diag_itemexited, id=4922, type=1
2014-03-26 04:22:54:0776, diag_itementered, id=6816, type=1
2014-03-26 04:22:55:0166, diag_itemexited, id=6816, type=1
2014-03-26 04:22:55:0463, diag_itementered, id=6658, type=1
2014-03-26 04:22:56:0149, diag_itemexited, id=6658, type=1
2014-03-26 04:22:56:0680, diag_itementered, id=6612, type=1
2014-03-26 04:22:57:0772, diag_itemexited, id=6612, type=1
2014-03-26 04:22:57:0818, diag_itementered, id=5855, type=1
2014-03-26 04:22:58:0318, diag_itemexited, id=5855, type=1
2014-03-26 04:22:58:0442, diag_itementered, id=2968, type=1
2014-03-26 04:22:58:0817, diag_itemexited, id=2968, type=1
2014-03-26 04:22:59:0144, diag_itementered, id=8219, type=1
2014-03-26 04:22:59:0534, diag_itemexited, id=8219, type=1
2014-03-26 04:22:59:0644, diag_itementered, id=6765, type=1
2014-03-26 04:23:00:0143, diag_itemexited, id=6765, type=1
2014-03-26 04:23:00:0314, diag_itementered, id=6682, type=1
2014-03-26 04:23:00:0720, diag_itemexited, id=6682, type=1
2014-03-26 04:23:00:0798, diag_itementered, id=7720, type=1
2014-03-26 04:23:01:0141, diag_itemexited, id=7720, type=1
2014-03-26 04:23:01:0266, diag_itementered, id=9913, type=1
2014-03-26 04:23:02:0000, edge_create, Tuple[0,1,0.8168004469235314,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:02:0000, answer_create, 9916
2014-03-26 04:23:02:0016, edge_create, Tuple[1,2,0.981461992706525,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:02:0016, answer_create, 9933
