2014-12-05 02:22:58:0482, setup_loaddata_begin
2014-12-05 02:23:00:0925, setup_loaddata_end
2014-12-05 02:23:01:0527, setup_createactions_begin
2014-12-05 02:23:01:0885, setup_createactions_end
2014-12-05 02:23:08:0908, diag_itemexited, id=1, type=4
2014-12-05 02:23:08:0934, diag_itementered, id=1, type=0
2014-12-05 02:23:09:0473, diag_itemdragged, id=1, type=0
2014-12-05 02:23:09:0511, diag_itemdragged, id=1, type=0
2014-12-05 02:23:09:0621, diag_itemdragged, id=1, type=0
2014-12-05 02:23:09:0670, diag_itemdragged, id=1, type=0
2014-12-05 02:23:09:0976, diag_itemexited, id=1, type=0
2014-12-05 02:23:10:0049, diag_itemexited, id=1, type=4
2014-12-05 02:23:10:0616, diag_itemexited, id=2, type=4
2014-12-05 02:23:10:0630, diag_itementered, id=2, type=0
2014-12-05 02:23:11:0698, diag_itemexited, id=2, type=0
2014-12-05 02:23:11:0918, diag_itemexited, id=2, type=4
2014-12-05 02:23:11:0920, diag_itementered, id=3049, type=1
2014-12-05 02:23:11:0974, diag_itemexited, id=3049, type=1
2014-12-05 02:23:12:0039, diag_itemexited, id=2, type=4
2014-12-05 02:23:12:0040, diag_itementered, id=65035, type=1
2014-12-05 02:23:12:0080, diag_itemexited, id=65035, type=1
2014-12-05 02:23:12:0131, diag_itemexited, id=2, type=4
2014-12-05 02:23:12:0288, diag_itementered, id=24723, type=1
2014-12-05 02:23:12:0354, diag_itemexited, id=24723, type=1
2014-12-05 02:23:12:0355, diag_itementered, id=41107, type=1
2014-12-05 02:23:12:0402, diag_itemexited, id=41107, type=1
2014-12-05 02:23:12:0530, diag_itemexited, id=4, type=4
2014-12-05 02:23:12:0531, diag_itementered, id=40471, type=1
2014-12-05 02:23:12:0581, diag_itemexited, id=40471, type=1
2014-12-05 02:23:13:0160, diag_itemexited, id=4, type=4
2014-12-05 02:23:13:0205, diag_itementered, id=31693, type=1
2014-12-05 02:23:13:0330, diag_itemexited, id=31693, type=1
2014-12-05 02:23:14:0054, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0105, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0180, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0204, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0229, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0253, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0277, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0299, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0324, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0362, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0398, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0434, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0459, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0484, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0509, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0559, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0682, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0706, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0729, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0754, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0779, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0803, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0828, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0867, diag_itemdragged, id=4, type=4
2014-12-05 02:23:14:0975, diag_itemdragged, id=4, type=4
2014-12-05 02:23:15:0000, diag_itemdragged, id=4, type=4
2014-12-05 02:23:15:0294, diag_itemexited, id=4, type=4
2014-12-05 02:23:15:0295, diag_itementered, id=4, type=0
2014-12-05 02:23:15:0886, diag_itemexited, id=4, type=0
2014-12-05 02:23:15:0949, diag_itemexited, id=4, type=4
2014-12-05 02:23:15:0951, diag_itementered, id=36347, type=1
2014-12-05 02:23:15:0999, diag_itemexited, id=36347, type=1
2014-12-05 02:23:16:0041, diag_itemexited, id=3, type=4
2014-12-05 02:23:16:0059, diag_itementered, id=40480, type=1
2014-12-05 02:23:16:0104, diag_itemexited, id=40480, type=1
2014-12-05 02:23:16:0116, diag_itementered, id=40663, type=1
2014-12-05 02:23:16:0159, diag_itemexited, id=40663, type=1
2014-12-05 02:23:16:0770, list_mouseentered, id=40663, type=1
2014-12-05 02:23:16:0771, list_mousemoved, id=40663, type=1
2014-12-05 02:23:16:0795, list_mousemoved, id=40663, type=1
2014-12-05 02:23:16:0817, list_mousemoved, id=40663, type=1
2014-12-05 02:23:16:0844, list_mousemoved, id=40663, type=1
2014-12-05 02:23:16:0868, list_mousemoved, id=40663, type=1
2014-12-05 02:23:16:0893, list_mousemoved, id=40663, type=1
2014-12-05 02:23:16:0915, list_mousemoved, id=40663, type=1
2014-12-05 02:23:16:0940, list_mouseexited
