2014-03-15 09:07:05:0240, setup_loaddata
2014-03-15 09:07:05:0397, question_create, 852649889
2014-03-15 09:07:05:0594, answer_create, 11092
2014-03-15 09:07:05:0596, edge_create, Tuple[0,1,0.60379891500084,4,0.0,1394932024310,1394932024310]
2014-03-15 09:07:05:0596, answer_create, 11098
2014-03-15 09:07:05:0596, edge_create, Tuple[0,2,0.7935066215778438,4,0.0,1394932024310,1394932024310]
2014-03-15 09:07:05:0597, answer_create, 11101
2014-03-15 09:07:05:0597, edge_create, Tuple[0,3,0.09976614544351092,4,0.0,1394932024310,1394932024310]
2014-03-15 09:07:05:0598, answer_create, 15657
2014-03-15 09:07:05:0598, edge_create, Tuple[0,4,0.46906960841816403,4,0.0,1394932024310,1394932024310]
2014-03-15 09:07:05:0599, answer_create, 15874
2014-03-15 09:07:05:0599, edge_create, Tuple[0,5,0.8153204865147573,4,0.0,1394932024310,1394932024310]
2014-03-15 09:07:05:0599, answer_create, 19186
2014-03-15 09:07:05:0600, edge_create, Tuple[0,6,0.32027676504095504,4,0.0,1394932024310,1394932024310]
2014-03-15 09:07:05:0600, answer_create, 5047679
2014-03-15 09:07:05:0601, edge_create, Tuple[0,7,0.655784536777504,4,0.0,1394932024310,1394932024310]
2014-03-15 09:07:05:0648, setup_resizewin
2014-03-15 11:04:58:0575, list_mouseentered, 126
2014-03-15 11:04:58:0714, list_mouseexited
2014-03-15 11:05:36:0766, list_mouseentered, 123
2014-03-15 11:05:37:0101, list_mouseexited
