2014-03-24 07:08:16:0153, setup_loaddata
2014-03-24 07:08:16:0387, setup_resizewin
2014-03-24 07:44:49:0160, diag_itementered, id=4080, type=1
2014-03-24 07:44:51:0064, edge_create, Tuple[0,1,0.5628745788357902,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:51:0065, edge_create, Tuple[1,2,0.907720183700118,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:51:0066, edge_create, Tuple[1,3,0.7317760247672582,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:51:0067, edge_create, Tuple[1,4,0.871659273390353,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:51:0110, diag_itemclicked, id=4080, type=1
2014-03-24 07:44:53:0243, diag_itemexited, id=4080, type=1
2014-03-24 07:44:55:0067, diag_itementered, id=7269, type=1
2014-03-24 07:44:56:0763, edge_create, Tuple[0,1,0.8050598419597295,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0764, edge_create, Tuple[1,2,0.03587814712448267,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0765, edge_create, Tuple[1,3,0.13645170356458702,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0766, edge_create, Tuple[1,4,0.7594047481729256,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0767, edge_create, Tuple[1,5,0.3461483240409876,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0768, edge_create, Tuple[1,6,0.604300317450497,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0769, edge_create, Tuple[1,7,0.36269352762406204,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0770, edge_create, Tuple[1,8,0.13621343737418556,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0771, edge_create, Tuple[1,9,0.022347775124342717,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0772, edge_create, Tuple[1,10,0.1642398429967985,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0773, edge_create, Tuple[1,11,0.8873161542136286,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0774, edge_create, Tuple[1,12,0.45726345280038494,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0774, edge_create, Tuple[1,13,0.8553211194160651,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0775, edge_create, Tuple[1,14,0.11240104090462,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0776, edge_create, Tuple[1,15,0.09374862637849635,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0777, edge_create, Tuple[1,16,0.1311354708830249,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0778, edge_create, Tuple[1,17,0.432782301717617,1,0.0,1395659295216,1395659295216]
2014-03-24 07:44:56:0779, edge_create, Tuple[1,18,0.9163345021647761,1,0.0,1395659295216,1395659295216]
