2014-03-22 07:42:27:0337, setup_loaddata
2014-03-22 07:42:27:0711, answer_create, 133
2014-03-22 07:42:27:0711, edge_create, Tuple[0,1,0.8854233111350583,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0711, answer_create, 183
2014-03-22 07:42:27:0711, edge_create, Tuple[0,2,0.4244700084342987,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0711, answer_create, 190
2014-03-22 07:42:27:0711, edge_create, Tuple[0,3,0.7916978393846426,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0711, answer_create, 540
2014-03-22 07:42:27:0711, edge_create, Tuple[0,4,0.9521198377837832,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0711, answer_create, 939
2014-03-22 07:42:27:0711, edge_create, Tuple[0,5,0.5820171956051413,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0711, answer_create, 6726
2014-03-22 07:42:27:0711, edge_create, Tuple[0,6,0.18673885198411788,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0711, answer_create, 21413
2014-03-22 07:42:27:0711, edge_create, Tuple[0,7,0.289848730652421,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0711, answer_create, 53547
2014-03-22 07:42:27:0711, edge_create, Tuple[0,8,0.40514597163736443,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0711, answer_create, 74018
2014-03-22 07:42:27:0711, edge_create, Tuple[0,9,0.5352179612397395,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0711, answer_create, 144768
2014-03-22 07:42:27:0711, edge_create, Tuple[0,10,0.42028197006838686,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0711, answer_create, 155146
2014-03-22 07:42:27:0711, edge_create, Tuple[0,11,0.8109713866441212,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0711, answer_create, 161058
2014-03-22 07:42:27:0711, edge_create, Tuple[0,12,0.36838366747153684,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0727, answer_create, 208799
2014-03-22 07:42:27:0727, edge_create, Tuple[0,13,0.43223281532418123,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0727, answer_create, 3455575
2014-03-22 07:42:27:0727, edge_create, Tuple[0,14,0.7502119722274947,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0727, answer_create, 12791308
2014-03-22 07:42:27:0727, edge_create, Tuple[0,15,0.13438006739397423,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0727, answer_create, 16483567
2014-03-22 07:42:27:0727, edge_create, Tuple[0,16,0.12280404816387314,4,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0727, question_create, -1357549643
2014-03-22 07:42:27:0727, edge_create, Tuple[0,17,0.30676942453622336,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0727, question_create, 1549007820
2014-03-22 07:42:27:0727, edge_create, Tuple[0,18,0.4360372527953372,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0727, question_create, 2133633454
2014-03-22 07:42:27:0727, edge_create, Tuple[0,19,0.44800919554777596,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0727, question_create, 1350218328
2014-03-22 07:42:27:0727, edge_create, Tuple[0,20,0.5210477861535456,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0727, question_create, 2054986519
2014-03-22 07:42:27:0727, edge_create, Tuple[0,21,0.7749088742469421,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0727, question_create, 336687685
2014-03-22 07:42:27:0727, edge_create, Tuple[0,22,0.2708765886700589,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0743, question_create, 405274144
2014-03-22 07:42:27:0743, edge_create, Tuple[0,23,0.6700035916066011,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0743, question_create, -1939596781
2014-03-22 07:42:27:0743, edge_create, Tuple[0,24,0.8918743359757576,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0743, question_create, -1831351654
2014-03-22 07:42:27:0743, edge_create, Tuple[0,25,0.2229862946742701,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0743, question_create, -1306593559
2014-03-22 07:42:27:0743, edge_create, Tuple[0,26,0.1761368862729028,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0743, question_create, 182642633
2014-03-22 07:42:27:0743, edge_create, Tuple[0,27,0.3054392747640703,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0743, question_create, 1694155252
2014-03-22 07:42:27:0743, edge_create, Tuple[0,28,0.33640048459268623,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0743, question_create, 57169058
2014-03-22 07:42:27:0743, edge_create, Tuple[0,29,0.607180766650286,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0743, question_create, -1443307320
2014-03-22 07:42:27:0743, edge_create, Tuple[0,30,0.8802900597378808,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0743, question_create, -365415657
2014-03-22 07:42:27:0743, edge_create, Tuple[0,31,0.5650177803131903,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0743, question_create, -859943147
2014-03-22 07:42:27:0743, edge_create, Tuple[0,32,0.12508502432102442,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0743, question_create, -1632090924
2014-03-22 07:42:27:0743, edge_create, Tuple[0,33,0.15885824430251527,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0758, question_create, 185480520
2014-03-22 07:42:27:0758, edge_create, Tuple[0,34,0.24659060547772726,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0758, question_create, -1451034374
2014-03-22 07:42:27:0758, edge_create, Tuple[0,35,0.2922357297507884,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0758, question_create, -1213229674
2014-03-22 07:42:27:0758, edge_create, Tuple[0,36,0.03756658546096725,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0758, question_create, 853254755
2014-03-22 07:42:27:0758, edge_create, Tuple[0,37,0.16531331831387241,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0758, question_create, -1076970890
2014-03-22 07:42:27:0758, edge_create, Tuple[0,38,0.0656345677631377,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0758, question_create, -2062832192
2014-03-22 07:42:27:0758, edge_create, Tuple[0,39,0.9862115401615008,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0758, question_create, -880686842
2014-03-22 07:42:27:0758, edge_create, Tuple[0,40,0.582698199204337,1,0.0,1395488546400,1395488546400]
2014-03-22 07:42:27:0821, setup_resizewin
2014-03-22 07:42:39:0599, diag_itementered, id=7779, type=1
2014-03-22 07:42:40:0318, diag_itemclicked, id=7779, type=1
2014-03-22 07:42:40:0412, diag_itemexited, id=7779, type=1
2014-03-22 07:42:41:0566, list_mouseentered, 6816
2014-03-22 07:42:41:0753, list_mouseexited
2014-03-22 07:42:42:0034, diag_itementered, id=6222, type=1
2014-03-22 07:42:42:0097, diag_itemexited, id=6222, type=1
2014-03-22 07:42:43:0735, list_mouseentered, 6639
2014-03-22 07:42:45:0295, list_mouseexited
2014-03-22 07:43:06:0152, diag_itementered, id=6222, type=1
2014-03-22 07:43:06:0199, diag_itemexited, id=6222, type=1
2014-03-22 07:43:14:0139, diag_itementered, id=126, type=1
2014-03-22 07:43:14:0186, diag_itemexited, id=126, type=1
2014-03-22 07:43:14:0186, diag_itementered, id=7779, type=1
2014-03-22 07:43:14:0217, diag_itemexited, id=7779, type=1
2014-03-22 07:43:14:0264, diag_itementered, id=4922, type=1
2014-03-22 07:43:14:0295, diag_itemexited, id=4922, type=1
2014-03-22 07:43:15:0793, diag_itementered, id=6816, type=1
2014-03-22 07:43:15:0855, diag_itemexited, id=6816, type=1
2014-03-22 07:43:15:0855, diag_itementered, id=4242, type=1
2014-03-22 07:43:15:0917, diag_itemexited, id=4242, type=1
2014-03-22 07:43:31:0845, list_mouseentered, 4630
2014-03-22 07:43:31:0954, list_mouseexited
