2014-04-03 05:59:25:0773, setup_loaddata
2014-04-03 05:59:27:0259, list_mouseentered, 2158
2014-04-03 05:59:29:0041, edge_create, Tuple[0,1,0.7262906465091596,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0044, edge_create, Tuple[1,2,0.03725639249309354,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0047, edge_create, Tuple[1,3,0.8355638358379833,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0048, edge_create, Tuple[1,4,0.1458285231053087,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0049, edge_create, Tuple[1,5,0.08772756155280503,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0050, edge_create, Tuple[1,6,0.3458723584369411,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0051, edge_create, Tuple[1,7,0.13428017470179265,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0051, edge_create, Tuple[1,8,0.8597990074123452,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0052, edge_create, Tuple[1,9,0.5390739700425613,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0053, edge_create, Tuple[1,10,0.6134262804077545,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0054, edge_create, Tuple[1,11,0.04844171568700495,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0055, edge_create, Tuple[1,12,0.8868629938582604,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0055, edge_create, Tuple[1,13,0.3830593203063656,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0056, edge_create, Tuple[1,14,0.11085042767111375,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0057, edge_create, Tuple[1,15,0.14237550741919203,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0057, edge_create, Tuple[1,16,0.8732863569634157,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0058, edge_create, Tuple[1,17,0.8141618597003883,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0059, edge_create, Tuple[1,18,0.7896650534988169,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:29:0096, discussion_open, 2158
2014-04-03 05:59:30:0482, list_mouseexited
2014-04-03 05:59:31:0412, diag_itementered, id=3881, type=1
2014-04-03 05:59:31:0462, diag_itemexited, id=3881, type=1
2014-04-03 05:59:31:0533, diag_itementered, id=10042, type=1
2014-04-03 05:59:31:0568, diag_itemexited, id=10042, type=1
2014-04-03 05:59:31:0731, diag_itementered, id=6612, type=1
2014-04-03 05:59:31:0816, diag_itemexited, id=6612, type=1
2014-04-03 05:59:31:0890, diag_itementered, id=25331, type=1
2014-04-03 05:59:32:0059, diag_itemexited, id=25331, type=1
2014-04-03 05:59:32:0134, diag_itementered, id=2109443059, type=0
2014-04-03 05:59:32:0638, diag_itemexited, id=2109443059, type=0
2014-04-03 05:59:32:0794, diag_itementered, id=2968, type=1
2014-04-03 05:59:34:0713, edge_create, Tuple[0,1,0.5889386909316945,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:34:0715, edge_create, Tuple[1,2,0.5869255629284457,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:34:0717, edge_create, Tuple[1,3,0.8762871713039693,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:34:0719, edge_create, Tuple[1,4,0.43259284268390263,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:34:0721, edge_create, Tuple[1,5,0.9950583988105216,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:34:0723, edge_create, Tuple[1,6,0.9181292037034329,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:34:0725, edge_create, Tuple[1,7,0.30305791241472646,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:34:0727, edge_create, Tuple[1,8,0.9632208997942698,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:34:0729, edge_create, Tuple[1,9,0.0878642172108689,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:34:0730, edge_create, Tuple[0,10,0.36056391181772096,2,1.0,1396519165258,1396519165258]
2014-04-03 05:59:34:0732, pattern_create, -1042934726
2014-04-03 05:59:34:0733, edge_create, Tuple[10,11,0.35610171120110923,2,1.0,1396519165258,1396519165258]
2014-04-03 05:59:34:0747, discussion_open, 2968
2014-04-03 05:59:34:0748, diag_itemclicked, id=2968, type=1
2014-04-03 05:59:34:0803, diag_itemexited, id=2968, type=1
2014-04-03 05:59:35:0732, diag_itementered, id=15496, type=1
2014-04-03 05:59:35:0786, diag_itemexited, id=15496, type=1
2014-04-03 05:59:35:0844, diag_itementered, id=23445, type=1
2014-04-03 05:59:35:0874, diag_itemexited, id=23445, type=1
2014-04-03 05:59:35:0901, diag_itementered, id=22115, type=1
2014-04-03 05:59:35:0934, diag_itemexited, id=22115, type=1
2014-04-03 05:59:35:0998, diag_itementered, id=2109443059, type=0
2014-04-03 05:59:36:0851, diag_itemclicked, id=2109443059, type=0
2014-04-03 05:59:37:0709, diag_itemexited, id=2109443059, type=0
2014-04-03 05:59:39:0069, list_mouseentered, 27065
2014-04-03 05:59:40:0851, edge_create, Tuple[0,1,0.4209655850836699,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:40:0854, edge_create, Tuple[1,2,0.4339294902430636,1,0.0,1396519165258,1396519165258]
2014-04-03 05:59:40:0856, edge_create, Tuple[1,3,0.7267555935970555,1,0.0,1396519165258,1396519165258]
