2014-03-22 05:37:02:0859, setup_loaddata
2014-03-22 05:37:03:0077, question_create, 1373622072
2014-03-22 05:37:03:0296, answer_create, 133
2014-03-22 05:37:03:0296, edge_create, Tuple[0,1,0.1878564908576411,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0296, answer_create, 183
2014-03-22 05:37:03:0296, edge_create, Tuple[0,2,0.44095156366515154,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0296, answer_create, 190
2014-03-22 05:37:03:0296, edge_create, Tuple[0,3,0.6140769403340106,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0296, answer_create, 540
2014-03-22 05:37:03:0296, edge_create, Tuple[0,4,0.8390223187113541,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0296, answer_create, 939
2014-03-22 05:37:03:0296, edge_create, Tuple[0,5,0.33484192398404167,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0296, answer_create, 6726
2014-03-22 05:37:03:0296, edge_create, Tuple[0,6,0.4959125113833932,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0296, answer_create, 21413
2014-03-22 05:37:03:0296, edge_create, Tuple[0,7,0.9370114226843863,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0296, answer_create, 53547
2014-03-22 05:37:03:0296, edge_create, Tuple[0,8,0.12741791552614934,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0296, answer_create, 74018
2014-03-22 05:37:03:0296, edge_create, Tuple[0,9,0.21067593552113795,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0296, answer_create, 144768
2014-03-22 05:37:03:0296, edge_create, Tuple[0,10,0.4537134985604224,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0296, answer_create, 155146
2014-03-22 05:37:03:0296, edge_create, Tuple[0,11,0.018397068388326998,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0296, answer_create, 161058
2014-03-22 05:37:03:0296, edge_create, Tuple[0,12,0.9499178701227113,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0296, answer_create, 208799
2014-03-22 05:37:03:0296, edge_create, Tuple[0,13,0.1330525884735595,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0296, answer_create, 3455575
2014-03-22 05:37:03:0296, edge_create, Tuple[0,14,0.021612010486558253,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0296, answer_create, 12791308
2014-03-22 05:37:03:0311, edge_create, Tuple[0,15,0.42330327575527493,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0311, answer_create, 16483567
2014-03-22 05:37:03:0311, edge_create, Tuple[0,16,0.18592323682148715,4,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0311, question_create, -2020362797
2014-03-22 05:37:03:0311, edge_create, Tuple[0,17,0.6677571511504483,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0311, question_create, 1514548311
2014-03-22 05:37:03:0311, edge_create, Tuple[0,18,0.8525117013941415,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0311, question_create, -1970515505
2014-03-22 05:37:03:0311, edge_create, Tuple[0,19,0.26351771796038403,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0311, question_create, 1230832956
2014-03-22 05:37:03:0311, edge_create, Tuple[0,20,0.29398267244621135,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0311, question_create, -621887016
2014-03-22 05:37:03:0311, edge_create, Tuple[0,21,0.11375282653132357,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0311, question_create, -608105790
2014-03-22 05:37:03:0311, edge_create, Tuple[0,22,0.582557743376438,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0311, question_create, -2122945510
2014-03-22 05:37:03:0311, edge_create, Tuple[0,23,0.6952307309189889,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0327, question_create, 841397731
2014-03-22 05:37:03:0327, edge_create, Tuple[0,24,0.71572905808973,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0327, question_create, -1988923491
2014-03-22 05:37:03:0327, edge_create, Tuple[0,25,0.42242965407645716,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0327, question_create, 708852190
2014-03-22 05:37:03:0327, edge_create, Tuple[0,26,0.295348669014337,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0327, question_create, -2105728891
2014-03-22 05:37:03:0327, edge_create, Tuple[0,27,0.3071031862105853,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0327, question_create, 446804209
2014-03-22 05:37:03:0327, edge_create, Tuple[0,28,0.40505422752296827,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0327, question_create, 1587583660
2014-03-22 05:37:03:0327, edge_create, Tuple[0,29,0.6485886482281042,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0327, question_create, -729614049
2014-03-22 05:37:03:0327, edge_create, Tuple[0,30,0.9013067853868352,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0327, question_create, -1618252667
2014-03-22 05:37:03:0327, edge_create, Tuple[0,31,0.48962967108071054,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0327, question_create, -785510235
2014-03-22 05:37:03:0327, edge_create, Tuple[0,32,0.28275184351109384,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0327, question_create, -1748121687
2014-03-22 05:37:03:0327, edge_create, Tuple[0,33,0.5279919007077852,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0343, question_create, -1420057223
2014-03-22 05:37:03:0343, edge_create, Tuple[0,34,0.40311434396456114,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0343, question_create, -512283286
2014-03-22 05:37:03:0343, edge_create, Tuple[0,35,0.9472272416609101,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0343, question_create, -432451927
2014-03-22 05:37:03:0343, edge_create, Tuple[0,36,0.5453735236642864,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0343, question_create, -1110497363
2014-03-22 05:37:03:0343, edge_create, Tuple[0,37,0.2137463928287887,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0343, question_create, 2090122637
2014-03-22 05:37:03:0343, edge_create, Tuple[0,38,0.8273918474283543,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0343, question_create, 288603615
2014-03-22 05:37:03:0343, edge_create, Tuple[0,39,0.9469334697227525,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0343, question_create, 99229789
2014-03-22 05:37:03:0343, edge_create, Tuple[0,40,0.9062147689671389,1,0.0,1395481021920,1395481021920]
2014-03-22 05:37:03:0421, setup_resizewin
2014-03-22 05:37:04:0263, diag_itementered, id=7596, type=1
2014-03-22 05:37:04:0325, diag_itemexited, id=7596, type=1
2014-03-22 05:37:37:0398, list_mouseentered, 6765
2014-03-22 05:37:52:0358, list_mouseexited
2014-03-22 05:38:03:0091, list_mouseentered, 6765
2014-03-22 05:38:03:0886, list_mouseexited
2014-03-22 05:38:04:0604, list_mouseentered, 6682
2014-03-22 05:38:04:0932, list_mouseexited
2014-03-22 05:38:05:0306, list_mouseentered, 6639
2014-03-22 05:38:05:0322, list_mouseexited
2014-03-22 05:38:06:0882, list_mouseentered, 6658
2014-03-22 05:38:07:0615, list_mouseexited
