2014-03-22 07:28:20:0318, setup_loaddata
2014-03-22 07:28:20:0459, question_create, 1411740177
2014-03-22 07:28:20:0693, answer_create, 133
2014-03-22 07:28:20:0693, edge_create, Tuple[0,1,0.48996178679669566,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0693, answer_create, 183
2014-03-22 07:28:20:0693, edge_create, Tuple[0,2,0.11627523593981848,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0693, answer_create, 190
2014-03-22 07:28:20:0693, edge_create, Tuple[0,3,0.7928542471618845,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0693, answer_create, 540
2014-03-22 07:28:20:0693, edge_create, Tuple[0,4,0.6845040670213534,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0693, answer_create, 939
2014-03-22 07:28:20:0693, edge_create, Tuple[0,5,0.7763438429702557,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0693, answer_create, 6726
2014-03-22 07:28:20:0693, edge_create, Tuple[0,6,0.9397633152667381,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0693, answer_create, 21413
2014-03-22 07:28:20:0708, edge_create, Tuple[0,7,0.7109282015758965,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0708, answer_create, 53547
2014-03-22 07:28:20:0708, edge_create, Tuple[0,8,0.9058086451277243,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0708, answer_create, 74018
2014-03-22 07:28:20:0708, edge_create, Tuple[0,9,0.19381593943142283,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0708, answer_create, 144768
2014-03-22 07:28:20:0708, edge_create, Tuple[0,10,0.6856503159232334,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0708, answer_create, 155146
2014-03-22 07:28:20:0708, edge_create, Tuple[0,11,0.1361564472674155,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0708, answer_create, 161058
2014-03-22 07:28:20:0708, edge_create, Tuple[0,12,0.7705258468293892,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0708, answer_create, 208799
2014-03-22 07:28:20:0708, edge_create, Tuple[0,13,0.06403295559298539,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0708, answer_create, 3455575
2014-03-22 07:28:20:0708, edge_create, Tuple[0,14,0.4972292753272989,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0708, answer_create, 12791308
2014-03-22 07:28:20:0708, edge_create, Tuple[0,15,0.5079930380910478,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0708, answer_create, 16483567
2014-03-22 07:28:20:0708, edge_create, Tuple[0,16,0.9260698204515989,4,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0708, question_create, 343703365
2014-03-22 07:28:20:0708, edge_create, Tuple[0,17,0.1564577172581424,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0708, question_create, 1324499820
2014-03-22 07:28:20:0708, edge_create, Tuple[0,18,0.19298042974509433,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0708, question_create, 1805182319
2014-03-22 07:28:20:0724, edge_create, Tuple[0,19,0.6000003341603515,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0724, question_create, 511356244
2014-03-22 07:28:20:0724, edge_create, Tuple[0,20,0.9980363906678035,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0724, question_create, 740913038
2014-03-22 07:28:20:0724, edge_create, Tuple[0,21,0.29367627314580935,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0724, question_create, -492464025
2014-03-22 07:28:20:0724, edge_create, Tuple[0,22,0.24583630447594207,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0724, question_create, 2083232896
2014-03-22 07:28:20:0724, edge_create, Tuple[0,23,0.681974224212679,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0724, question_create, -1920093493
2014-03-22 07:28:20:0724, edge_create, Tuple[0,24,0.607552648273903,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0724, question_create, -1870939680
2014-03-22 07:28:20:0724, edge_create, Tuple[0,25,0.6468707767546087,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0740, question_create, -1124926424
2014-03-22 07:28:20:0740, edge_create, Tuple[0,26,0.283470956472212,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0740, question_create, -1831270131
2014-03-22 07:28:20:0740, edge_create, Tuple[0,27,0.2133970427957137,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0740, question_create, -2036713188
2014-03-22 07:28:20:0740, edge_create, Tuple[0,28,0.13173324062950476,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0740, question_create, -6170130
2014-03-22 07:28:20:0740, edge_create, Tuple[0,29,0.5768150996334303,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0740, question_create, -394356686
2014-03-22 07:28:20:0740, edge_create, Tuple[0,30,0.16303014077185496,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0740, question_create, -461750590
2014-03-22 07:28:20:0740, edge_create, Tuple[0,31,0.5601285979535473,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0740, question_create, 1230136518
2014-03-22 07:28:20:0740, edge_create, Tuple[0,32,0.8916357028773445,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0740, question_create, 1244690331
2014-03-22 07:28:20:0740, edge_create, Tuple[0,33,0.3089134067181505,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0740, question_create, 1156066951
2014-03-22 07:28:20:0740, edge_create, Tuple[0,34,0.21566325226770766,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0740, question_create, -265250825
2014-03-22 07:28:20:0740, edge_create, Tuple[0,35,0.2608805915516832,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0755, question_create, -20170443
2014-03-22 07:28:20:0755, edge_create, Tuple[0,36,0.3317449354431784,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0755, question_create, -1702605628
2014-03-22 07:28:20:0755, edge_create, Tuple[0,37,0.4841216082831966,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0755, question_create, 1841146391
2014-03-22 07:28:20:0755, edge_create, Tuple[0,38,0.6138875999900164,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0755, question_create, 1026733438
2014-03-22 07:28:20:0755, edge_create, Tuple[0,39,0.7639547465341552,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0755, question_create, -1149499940
2014-03-22 07:28:20:0755, edge_create, Tuple[0,40,0.5797875145876634,1,0.0,1395487699366,1395487699366]
2014-03-22 07:28:20:0911, setup_resizewin
2014-03-22 07:28:21:0301, list_mouseentered, 123
2014-03-22 07:28:23:0719, list_mouseexited
2014-03-22 07:28:25:0232, diag_itementered, id=11088, type=1
2014-03-22 07:28:25:0264, diag_itemexited, id=11088, type=1
2014-03-22 07:28:32:0364, setup_loaddata
2014-03-22 07:28:32:0520, question_create, -982236052
2014-03-22 07:28:32:0722, answer_create, 133
2014-03-22 07:28:32:0722, edge_create, Tuple[0,1,0.2911897610062816,4,0.0,1395487711427,1395487711427]
2014-03-22 07:28:32:0738, answer_create, 183
2014-03-22 07:28:32:0738, edge_create, Tuple[0,2,0.9077503934498,4,0.0,1395487711427,1395487711427]
2014-03-22 07:28:32:0738, answer_create, 190
2014-03-22 07:28:32:0738, edge_create, Tuple[0,3,0.3897888807591908,4,0.0,1395487711427,1395487711427]
2014-03-22 07:28:32:0738, answer_create, 540
2014-03-22 07:28:32:0738, edge_create, Tuple[0,4,0.87693332353363,4,0.0,1395487711427,1395487711427]
2014-03-22 07:28:32:0738, answer_create, 939
2014-03-22 07:28:32:0738, edge_create, Tuple[0,5,0.4205013303950721,4,0.0,1395487711427,1395487711427]
2014-03-22 07:28:32:0738, answer_create, 6726
2014-03-22 07:28:32:0738, edge_create, Tuple[0,6,0.11763394019041695,4,0.0,1395487711427,1395487711427]
2014-03-22 07:28:32:0738, answer_create, 21413
2014-03-22 07:28:32:0738, edge_create, Tuple[0,7,0.8253097219561907,4,0.0,1395487711427,1395487711427]
2014-03-22 07:28:32:0738, answer_create, 53547
2014-03-22 07:28:32:0738, edge_create, Tuple[0,8,0.6368242769919781,4,0.0,1395487711427,1395487711427]
2014-03-22 07:28:32:0738, answer_create, 74018
2014-03-22 07:28:32:0738, edge_create, Tuple[0,9,0.2229163783751793,4,0.0,1395487711427,1395487711427]
2014-03-22 07:28:32:0738, answer_create, 144768
2014-03-22 07:28:32:0738, edge_create, Tuple[0,10,0.08030629088727259,4,0.0,1395487711427,1395487711427]
