2014-03-22 06:49:34:0419, setup_loaddata
2014-03-22 06:49:34:0591, question_create, -1754849346
2014-03-22 06:49:34:0793, answer_create, 133
2014-03-22 06:49:34:0793, edge_create, Tuple[0,1,0.5707650617258215,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0793, answer_create, 183
2014-03-22 06:49:34:0793, edge_create, Tuple[0,2,0.31775444957329724,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0793, answer_create, 190
2014-03-22 06:49:34:0793, edge_create, Tuple[0,3,0.25073624274429307,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0793, answer_create, 540
2014-03-22 06:49:34:0793, edge_create, Tuple[0,4,0.9236212918181019,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0793, answer_create, 939
2014-03-22 06:49:34:0793, edge_create, Tuple[0,5,0.7649678279568829,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0793, answer_create, 6726
2014-03-22 06:49:34:0793, edge_create, Tuple[0,6,0.23304489817169516,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0793, answer_create, 21413
2014-03-22 06:49:34:0793, edge_create, Tuple[0,7,0.1475764536304609,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0793, answer_create, 53547
2014-03-22 06:49:34:0793, edge_create, Tuple[0,8,0.5520552049371683,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0793, answer_create, 74018
2014-03-22 06:49:34:0793, edge_create, Tuple[0,9,0.4056700092958194,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0793, answer_create, 144768
2014-03-22 06:49:34:0793, edge_create, Tuple[0,10,0.33359692888040715,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0793, answer_create, 155146
2014-03-22 06:49:34:0793, edge_create, Tuple[0,11,0.17525847423112828,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0793, answer_create, 161058
2014-03-22 06:49:34:0793, edge_create, Tuple[0,12,0.09241298315936597,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0793, answer_create, 208799
2014-03-22 06:49:34:0793, edge_create, Tuple[0,13,0.6569159497442504,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0793, answer_create, 3455575
2014-03-22 06:49:34:0809, edge_create, Tuple[0,14,0.9496634550527332,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0809, answer_create, 12791308
2014-03-22 06:49:34:0809, edge_create, Tuple[0,15,0.6405767642833166,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0809, answer_create, 16483567
2014-03-22 06:49:34:0809, edge_create, Tuple[0,16,0.3146560084998211,4,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0809, question_create, -1102139927
2014-03-22 06:49:34:0809, edge_create, Tuple[0,17,0.7807086326139385,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0809, question_create, -794424826
2014-03-22 06:49:34:0809, edge_create, Tuple[0,18,0.0018087716236113716,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0809, question_create, -1305789629
2014-03-22 06:49:34:0809, edge_create, Tuple[0,19,0.9581804726504803,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0809, question_create, -929154617
2014-03-22 06:49:34:0809, edge_create, Tuple[0,20,0.3932549005811913,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0809, question_create, -1067750976
2014-03-22 06:49:34:0809, edge_create, Tuple[0,21,0.571169943027544,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0809, question_create, -1042270287
2014-03-22 06:49:34:0809, edge_create, Tuple[0,22,0.5492640116610037,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0825, question_create, 886529261
2014-03-22 06:49:34:0825, edge_create, Tuple[0,23,0.5600052492587306,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0825, question_create, -1695623957
2014-03-22 06:49:34:0825, edge_create, Tuple[0,24,0.8614768093613057,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0825, question_create, 943623487
2014-03-22 06:49:34:0825, edge_create, Tuple[0,25,0.018266995796153873,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0825, question_create, -1189663130
2014-03-22 06:49:34:0825, edge_create, Tuple[0,26,0.7296834147638858,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0825, question_create, -462691875
2014-03-22 06:49:34:0825, edge_create, Tuple[0,27,0.17999386263609785,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0825, question_create, 1062943466
2014-03-22 06:49:34:0825, edge_create, Tuple[0,28,0.34052954503911814,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0825, question_create, 1805611335
2014-03-22 06:49:34:0825, edge_create, Tuple[0,29,0.8126854042189823,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0825, question_create, 1177507122
2014-03-22 06:49:34:0825, edge_create, Tuple[0,30,0.3330902483260164,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0825, question_create, 262747197
2014-03-22 06:49:34:0825, edge_create, Tuple[0,31,0.3725995861259802,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0825, question_create, 129629700
2014-03-22 06:49:34:0825, edge_create, Tuple[0,32,0.8983091421998068,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0825, question_create, -10533227
2014-03-22 06:49:34:0840, edge_create, Tuple[0,33,0.7959971069872482,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0840, question_create, -1364226503
2014-03-22 06:49:34:0840, edge_create, Tuple[0,34,0.27828008099785284,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0840, question_create, 1345874375
2014-03-22 06:49:34:0840, edge_create, Tuple[0,35,0.5936899100833162,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0840, question_create, -1212859827
2014-03-22 06:49:34:0840, edge_create, Tuple[0,36,0.9894768976274478,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0840, question_create, -1834197400
2014-03-22 06:49:34:0840, edge_create, Tuple[0,37,0.010920280237133428,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0840, question_create, 1747192982
2014-03-22 06:49:34:0840, edge_create, Tuple[0,38,0.22041291110969585,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0840, question_create, -1500394355
2014-03-22 06:49:34:0840, edge_create, Tuple[0,39,0.6065198743012382,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0840, question_create, 253504550
2014-03-22 06:49:34:0840, edge_create, Tuple[0,40,0.3748156799214084,1,0.0,1395485373482,1395485373482]
2014-03-22 06:49:34:0918, setup_resizewin
2014-03-22 06:50:00:0440, list_mouseentered, 126
2014-03-22 06:50:00:0877, list_mouseexited
