2015-01-15 06:14:43:0324, setup_loaddata_begin
2015-01-15 06:14:44:0154, setup_loaddata_end
2015-01-15 06:14:44:0184, setup_createactions_begin
2015-01-15 06:14:44:0224, setup_createactions_end
2015-01-15 06:14:45:0294, list_mouseentered, id=1, type=0
2015-01-15 06:14:45:0304, list_mousemoved, id=1, type=0
2015-01-15 06:14:45:0304, list_mousemoved, id=1, type=0
2015-01-15 06:14:45:0324, list_mousemoved, id=1, type=0
2015-01-15 06:14:45:0344, list_mousemoved, id=1, type=0
2015-01-15 06:14:45:0364, list_mousemoved, id=1, type=0
2015-01-15 06:14:45:0364, list_mousemoved, id=1, type=0
2015-01-15 06:14:45:0394, list_mousemoved, id=1, type=0
2015-01-15 06:14:45:0404, list_mousemoved, id=1, type=0
2015-01-15 06:14:45:0424, list_mousemoved, id=1, type=0
2015-01-15 06:14:45:0434, list_mousemoved, id=1, type=0
2015-01-15 06:14:45:0444, list_mousemoved, id=1, type=0
2015-01-15 06:14:45:0475, list_mousemoved, id=1, type=0
2015-01-15 06:14:45:0475, list_mousemoved, id=2, type=0
2015-01-15 06:14:45:0495, list_mouseexited
2015-01-15 06:14:51:0460, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0470, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0480, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0510, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0520, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0540, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0560, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0580, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0590, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0600, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0620, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0640, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0650, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0670, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0680, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0700, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0720, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0740, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0740, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0760, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0780, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0800, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0810, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0830, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0840, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0850, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0860, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0890, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0900, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0920, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0930, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0940, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0970, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0970, diag_itemdragged, id=2, type=4
2015-01-15 06:14:51:0990, diag_itemdragged, id=2, type=4
2015-01-15 06:14:52:0010, diag_itemdragged, id=2, type=4
2015-01-15 06:14:52:0020, diag_itemdragged, id=2, type=4
2015-01-15 06:14:52:0040, diag_itemdragged, id=2, type=4
2015-01-15 06:14:52:0190, diag_itemexited, id=2, type=4
2015-01-15 06:14:52:0190, diag_itementered, id=2, type=0
2015-01-15 06:14:52:0300, diag_itemexited, id=2, type=0
2015-01-15 06:14:52:0340, diag_itemexited, id=2, type=4
2015-01-15 06:14:52:0760, diag_itemdragged, id=4, type=4
2015-01-15 06:14:52:0790, diag_itemdragged, id=4, type=4
2015-01-15 06:14:52:0810, diag_itemdragged, id=4, type=4
2015-01-15 06:14:52:0840, diag_itemdragged, id=4, type=4
2015-01-15 06:14:52:0860, diag_itemdragged, id=4, type=4
2015-01-15 06:14:52:0890, diag_itemdragged, id=4, type=4
2015-01-15 06:14:52:0910, diag_itemdragged, id=4, type=4
2015-01-15 06:14:52:0940, diag_itemdragged, id=4, type=4
2015-01-15 06:14:52:0960, diag_itemdragged, id=4, type=4
2015-01-15 06:14:52:0980, diag_itemdragged, id=4, type=4
2015-01-15 06:14:53:0010, diag_itemdragged, id=4, type=4
2015-01-15 06:14:53:0030, diag_itemdragged, id=4, type=4
2015-01-15 06:14:53:0060, diag_itemdragged, id=4, type=4
2015-01-15 06:14:53:0080, diag_itemdragged, id=4, type=4
2015-01-15 06:14:53:0110, diag_itemdragged, id=4, type=4
2015-01-15 06:14:53:0346, diag_itemexited, id=4, type=4
2015-01-15 06:14:53:0739, diag_itemdragged, id=3, type=4
2015-01-15 06:14:53:0759, diag_itemdragged, id=3, type=4
2015-01-15 06:14:53:0779, diag_itemdragged, id=3, type=4
2015-01-15 06:14:53:0809, diag_itemdragged, id=3, type=4
2015-01-15 06:14:53:0829, diag_itemdragged, id=3, type=4
2015-01-15 06:14:53:0859, diag_itemdragged, id=3, type=4
2015-01-15 06:14:53:0879, diag_itemdragged, id=3, type=4
2015-01-15 06:14:53:0909, diag_itemdragged, id=3, type=4
2015-01-15 06:14:53:0929, diag_itemdragged, id=3, type=4
2015-01-15 06:14:53:0959, diag_itemdragged, id=3, type=4
2015-01-15 06:14:53:0979, diag_itemdragged, id=3, type=4
2015-01-15 06:14:54:0009, diag_itemdragged, id=3, type=4
2015-01-15 06:14:54:0029, diag_itemdragged, id=3, type=4
2015-01-15 06:14:54:0049, diag_itemdragged, id=3, type=4
2015-01-15 06:14:54:0279, diag_itemexited, id=3, type=4
2015-01-15 06:14:54:0379, diag_itementered, id=4, type=0
2015-01-15 06:14:54:0429, diag_itemexited, id=4, type=0
2015-01-15 06:14:54:0529, diag_itemexited, id=4, type=4
