2015-01-21 12:12:50:0403, setup_loaddata_begin
2015-01-21 12:12:52:0975, setup_loaddata_end
2015-01-21 12:12:52:0997, setup_createactions_begin
2015-01-21 12:12:53:0127, setup_createactions_end
2015-01-21 12:12:57:0991, search_update, junit
2015-01-21 12:13:02:0074, search_update, testng
