2014-11-17 06:20:23:0022, diag_itemexited, id=142, type=3
2014-11-17 06:20:23:0022, diag_itementered, id=25637, type=1
2014-11-17 06:20:24:0801, diag_itemexited, id=25637, type=1
2014-11-17 06:20:24:0863, diag_itemexited, id=142, type=3
2014-11-17 06:20:25:0316, diag_itemexited, id=142, type=3
2014-11-17 06:20:25:0316, diag_itementered, id=48249, type=1
2014-11-17 06:20:27:0113, diag_itemexited, id=48249, type=1
2014-11-17 06:20:27:0191, diag_itemexited, id=142, type=3
2014-11-17 06:20:27:0612, diag_itemexited, id=142, type=3
2014-11-17 06:20:27:0612, diag_itementered, id=25637, type=1
2014-11-17 06:20:29:0172, diag_itemexited, id=25637, type=1
2014-11-17 06:20:29:0687, diag_itemdragged, id=142, type=3
2014-11-17 06:20:29:0733, diag_itemdragged, id=142, type=3
2014-11-17 06:20:29:0765, diag_itemdragged, id=142, type=3
2014-11-17 06:20:29:0780, diag_itemdragged, id=142, type=3
2014-11-17 06:20:29:0811, diag_itemdragged, id=142, type=3
2014-11-17 06:20:29:0843, diag_itemdragged, id=142, type=3
2014-11-17 06:20:29:0858, diag_itemdragged, id=142, type=3
2014-11-17 06:20:29:0889, diag_itemdragged, id=142, type=3
2014-11-17 06:20:29:0921, diag_itemdragged, id=142, type=3
2014-11-17 06:20:29:0936, diag_itemdragged, id=142, type=3
2014-11-17 06:20:29:0967, diag_itemdragged, id=142, type=3
2014-11-17 06:20:29:0983, diag_itemdragged, id=142, type=3
2014-11-17 06:20:30:0014, diag_itemdragged, id=142, type=3
2014-11-17 06:20:30:0045, diag_itemdragged, id=142, type=3
2014-11-17 06:20:30:0061, diag_itemdragged, id=142, type=3
2014-11-17 06:20:30:0092, diag_itemdragged, id=142, type=3
2014-11-17 06:20:30:0108, diag_itemdragged, id=142, type=3
2014-11-17 06:20:30:0139, diag_itemdragged, id=142, type=3
2014-11-17 06:20:30:0170, diag_itemdragged, id=142, type=3
2014-11-17 06:20:30:0982, diag_itemdragged, id=142, type=3
2014-11-17 06:20:31:0029, diag_itemdragged, id=142, type=3
2014-11-17 06:20:31:0435, diag_itemdragged, id=142, type=3
2014-11-17 06:20:31:0482, diag_itemdragged, id=142, type=3
2014-11-17 06:20:31:0513, diag_itemdragged, id=142, type=3
2014-11-17 06:20:31:0544, diag_itemdragged, id=142, type=3
2014-11-17 06:20:31:0762, diag_itemdragged, id=142, type=3
2014-11-17 06:20:31:0809, diag_itemdragged, id=142, type=3
2014-11-17 06:20:31:0840, diag_itemdragged, id=142, type=3
2014-11-17 06:20:31:0856, diag_itemdragged, id=142, type=3
2014-11-17 06:20:31:0887, diag_itemdragged, id=142, type=3
2014-11-17 06:20:31:0918, diag_itemdragged, id=142, type=3
2014-11-17 06:20:31:0934, diag_itemdragged, id=142, type=3
2014-11-17 06:20:32:0311, diag_itemdragged, id=142, type=3
2014-11-17 06:20:32:0358, diag_itemdragged, id=142, type=3
2014-11-17 06:20:32:0670, diag_itemdragged, id=142, type=3
2014-11-17 06:20:34:0685, diag_itemexited, id=142, type=3
2014-11-17 06:20:34:0778, diag_itemexited, id=49, type=3
2014-11-17 06:20:34:0872, diag_itemexited, id=105, type=3
2014-11-17 06:20:34:0934, diag_itemexited, id=3, type=3
2014-11-17 06:20:35:0324, list_mouseentered, 52353
2014-11-17 06:20:35:0387, list_mouseexited
2014-11-17 06:20:37:0682, list_mouseentered, 52353
2014-11-17 06:20:37:0729, list_mouseexited
2014-11-17 06:20:37:0791, diag_itemexited, id=155, type=3
2014-11-17 06:20:38:0150, list_mouseentered, 52353
2014-11-17 06:20:38:0197, list_mouseexited
2014-11-17 06:21:16:0605, list_mouseentered, 51574
2014-11-17 06:21:16:0683, list_mouseexited
2014-11-17 06:21:16:0761, diag_itemexited, id=155, type=3
2014-11-17 06:21:16:0933, diag_itemexited, id=91, type=3
2014-11-17 06:21:16:0964, diag_itementered, id=51276, type=1
2014-11-17 06:21:16:0995, diag_itemexited, id=51276, type=1
2014-11-17 06:21:17:0089, diag_itemexited, id=14, type=3
2014-11-17 06:21:17:0136, diag_itemexited, id=91, type=3
2014-11-17 06:21:17:0182, diag_itemexited, id=140, type=3
2014-11-17 06:21:17:0276, diag_itemexited, id=77, type=3
2014-11-17 06:21:17:0637, diag_itemexited, id=8, type=3
2014-11-17 06:21:18:0370, diag_itemexited, id=26, type=3
2014-11-17 06:21:18:0713, diag_itemexited, id=19, type=3
2014-11-17 06:21:18:0760, diag_itemexited, id=49, type=3
2014-11-17 06:21:18:0978, diag_itemexited, id=110, type=3
2014-11-17 06:21:19:0197, diag_itemexited, id=49, type=3
2014-11-17 06:21:21:0163, diag_itemdragged, id=19, type=3
2014-11-17 06:21:21:0226, diag_itemdragged, id=19, type=3
2014-11-17 06:21:21:0257, diag_itemdragged, id=19, type=3
2014-11-17 06:21:21:0273, diag_itemdragged, id=19, type=3
2014-11-17 06:21:21:0304, diag_itemdragged, id=19, type=3
2014-11-17 06:21:21:0319, diag_itemdragged, id=19, type=3
2014-11-17 06:21:21:0351, diag_itemdragged, id=19, type=3
2014-11-17 06:21:21:0382, diag_itemdragged, id=19, type=3
2014-11-17 06:21:21:0397, diag_itemdragged, id=19, type=3
2014-11-17 06:21:21:0429, diag_itemdragged, id=19, type=3
2014-11-17 06:21:21:0460, diag_itemdragged, id=19, type=3
2014-11-17 06:21:21:0460, diag_itemdragged, id=19, type=3
2014-11-17 06:21:21:0475, diag_itemdragged, id=19, type=3
2014-11-17 06:21:21:0507, diag_itemdragged, id=19, type=3
2014-11-17 06:21:21:0538, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0084, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0115, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0146, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0177, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0193, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0224, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0224, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0255, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0271, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0302, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0318, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0349, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0380, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0396, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0427, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0458, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0474, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0505, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0521, diag_itemdragged, id=19, type=3
2014-11-17 06:21:22:0583, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0223, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0254, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0285, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0316, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0332, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0363, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0441, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0472, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0503, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0519, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0550, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0566, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0597, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0628, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0628, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0644, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0675, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0706, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0722, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0722, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0753, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0784, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0800, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0831, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0847, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0878, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0909, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0925, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0956, diag_itemdragged, id=19, type=3
2014-11-17 06:21:23:0987, diag_itemdragged, id=19, type=3
