2014-11-18 05:42:52:0555, setup_loaddata
2014-11-18 05:42:58:0756, list_mouseentered, 1
2014-11-18 05:42:59:0098, list_mouseexited
2014-11-18 05:43:05:0197, list_mouseentered, 34571
2014-11-18 05:43:25:0577, list_mouseexited
2014-11-18 05:45:34:0702, list_mouseentered, 34571
2014-11-18 05:45:35:0003, list_mouseexited
2014-11-18 05:45:50:0679, list_mouseentered, 3049
2014-11-18 05:45:51:0992, list_mouseexited
2014-11-18 05:45:52:0258, list_mouseentered, 3049
2014-11-18 05:45:52:0391, list_mouseexited
2014-11-18 05:46:10:0004, diag_itemexited, id=102, type=4
2014-11-18 05:46:19:0582, diag_detail_itementered, id=0.3915811717462231, type=1
2014-11-18 05:46:19:0606, diag_detail_itemexited, id=0.3915811717462231, type=1
2014-11-18 05:46:19:0612, diag_detail_itementered, id=0.5325610033329911, type=1
2014-11-18 05:46:19:0633, diag_detail_itemexited, id=0.5325610033329911, type=1
2014-11-18 05:46:19:0648, diag_detail_itementered, id=0.31051512584812135, type=1
2014-11-18 05:46:19:0670, diag_detail_itemexited, id=0.31051512584812135, type=1
2014-11-18 05:46:19:0975, diag_detail_itementered, id=51438, type=1
2014-11-18 05:46:20:0104, diag_detail_itemexited, id=51438, type=1
2014-11-18 05:46:20:0328, diag_detail_itementered, id=51438, type=1
2014-11-18 05:46:20:0360, diag_detail_itemexited, id=51438, type=1
2014-11-18 05:46:20:0592, diag_detail_itementered, id=37628, type=1
2014-11-18 05:46:20:0635, diag_detail_itemexited, id=37628, type=1
2014-11-18 05:46:21:0420, diag_detail_itementered, id=34571, type=1
2014-11-18 05:46:21:0464, diag_detail_itemexited, id=34571, type=1
2014-11-18 05:46:21:0591, diag_detail_itementered, id=0.6932288247842348, type=1
2014-11-18 05:46:21:0604, diag_detail_itemexited, id=0.6932288247842348, type=1
2014-11-18 05:46:21:0835, diag_detail_itementered, id=0.6932288247842348, type=1
2014-11-18 05:46:21:0867, diag_detail_itemexited, id=0.6932288247842348, type=1
2014-11-18 05:46:23:0305, diag_detail_itementered, id=0.8856325926637745, type=1
2014-11-18 05:46:23:0336, diag_detail_itemexited, id=0.8856325926637745, type=1
2014-11-18 05:46:23:0455, diag_detail_itementered, id=0.6932288247842348, type=1
2014-11-18 05:46:23:0475, diag_detail_itemexited, id=0.6932288247842348, type=1
2014-11-18 05:46:23:0520, diag_detail_itementered, id=0.3987246415584913, type=1
2014-11-18 05:46:23:0582, diag_detail_itemexited, id=0.3987246415584913, type=1
2014-11-18 05:46:23:0614, diag_detail_itementered, id=0.8434392436758972, type=1
2014-11-18 05:46:23:0633, diag_detail_itemexited, id=0.8434392436758972, type=1
2014-11-18 05:46:24:0302, diag_detail_itementered, id=64392, type=1
2014-11-18 05:46:24:0836, diag_detail_itemexited, id=64392, type=1
2014-11-18 05:46:24:0836, diag_detail_itementered, id=0.7235651382037379, type=1
2014-11-18 05:46:24:0877, diag_detail_itemexited, id=0.7235651382037379, type=1
2014-11-18 05:46:25:0320, diag_detail_itementered, id=2023465998, type=3
2014-11-18 05:46:25:0391, diag_detail_itemexited, id=2023465998, type=3
2014-11-18 05:46:25:0735, diag_detail_itementered, id=2023465998, type=3
2014-11-18 05:46:27:0963, diag_detail_itemexited, id=2023465998, type=3
2014-11-18 05:46:28:0297, diag_detail_itementered, id=0.08478493230912632, type=1
2014-11-18 05:46:28:0353, diag_detail_itemexited, id=0.08478493230912632, type=1
2014-11-18 05:46:29:0136, diag_detail_itementered, id=0.08478493230912632, type=1
2014-11-18 05:46:32:0521, diag_detail_itemexited, id=0.08478493230912632, type=1
2014-11-18 05:46:32:0665, diag_detail_itementered, id=0.3855038835800556, type=1
2014-11-18 05:46:32:0694, diag_detail_itemexited, id=0.3855038835800556, type=1
2014-11-18 05:46:32:0761, diag_detail_itementered, id=0.7235651382037379, type=1
2014-11-18 05:46:32:0780, diag_detail_itemexited, id=0.7235651382037379, type=1
2014-11-18 05:46:32:0864, diag_detail_itementered, id=0.36635875231836124, type=1
2014-11-18 05:46:32:0882, diag_detail_itemexited, id=0.36635875231836124, type=1
2014-11-18 05:46:33:0020, diag_detail_itementered, id=0.6225102539723947, type=1
2014-11-18 05:46:33:0060, diag_detail_itemexited, id=0.6225102539723947, type=1
2014-11-18 05:46:33:0120, diag_detail_itementered, id=0.3987246415584913, type=1
2014-11-18 05:46:33:0160, diag_detail_itemexited, id=0.3987246415584913, type=1
2014-11-18 05:46:33:0852, diag_detail_itementered, id=0.9577142486300912, type=1
2014-11-18 05:46:33:0874, diag_detail_itemexited, id=0.9577142486300912, type=1
2014-11-18 05:46:34:0026, diag_detail_itementered, id=0.8434392436758972, type=1
2014-11-18 05:46:34:0049, diag_detail_itemexited, id=0.8434392436758972, type=1
2014-11-18 05:46:34:0180, diag_detail_itementered, id=0.3835421082362779, type=1
2014-11-18 05:46:34:0199, diag_detail_itemexited, id=0.3835421082362779, type=1
2014-11-18 05:46:34:0283, diag_detail_itementered, id=64392, type=1
2014-11-18 05:46:34:0302, diag_detail_itemexited, id=64392, type=1
