id,displayname,reputation
"1310","ScArcher2","23490"
"1318","jacobko","3111"
"1322","Matt McMinn","6600"
"1327","Dan Blair","1595"
"1340","Clint Davis","181"
"1344","Brian Warshaw","9094"
"1353","martinatime","1893"
"1358","EBGreen","14829"
"1366","Adam","6631"
"1370","eplawless","2096"
"1377","ejack","892"
"1404","Craig.Nicol","608"
"1406","Thierry-Dimitri Roy","3727"
"1409","Herms","13399"
"1412","Chris Conway","25360"
"1414","travis","15273"
"1416","jcsalterego","364"
"1417","Ben","129"
"1419","Galbrezu","128"
"1421","Anders Eurenius","2992"
"1425","Brendon-Van-Heyzen","1979"
"1431","Juha Syrjälä","11900"
"1432","jsight","16255"
"1448","cnu","7197"
"1450","John Topley","59735"
"1464","alanl","492"
"1471","Outlaw Programmer","6717"
"1480","jmanning2k","3502"
"1483","Grzegorz Gierlik","6577"
"1486","Kyle Boon","2502"
"1490","Nick","7326"
"1527","Pete Kirkham","33029"
"1534","Michał Piaskowski","2706"
"1539","Ryan P","1761"
"1554","Brad Wilson","23695"
"1556","popopome","2860"
"1557","Brian Laframboise","3760"
"1559","Scott Dorman","25560"
"1562","mafro","587"
"1595","Corey","5495"
"1600","Sören Kuklau","9485"
"1605","Avi","14658"
"1611","Craig","1043"
"1627","Ryan Farley","8044"
"1633","Peter Stuifzand","3230"
"1638","mmattax","11010"
"1644","Daniel Auger","8664"
"1650","Jeff","824"
"1651","Barak Schiller","810"
"1654","Walter Rumsby","3373"
"1659","Mark Cidade","55158"
"1666","SCdF","11830"
"1675","JProgrammer","1367"
"1685","Travis","6127"
"1693","Steve M","4907"
"1694","Eli Courtwright","54853"
"1695","Gishu","60375"
"1697","Shadow2531","6926"
"1702","Yuval F","15388"
"1703","Tuoski","540"
"1709","Anders Sandvig","8170"
"1710","Fredrik Kalseth","6843"
"1712","Roland Tepp","2707"
"1720","Mark Derricutt","565"
"1730","Nicolas","11948"
"1732","AngelOfCake","51"
"1741","Joseph Gordon","965"
"1750","David Schlosnagle","2141"
"1763","Mel","1122"
"1769","David Hayes","2841"
